VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,1014,44,1006.84,-98.4698,28.9177
X,1015,36,1052.46,-98.4598,28.9177
X,1016,36,1052.46,-98.4498,28.9177
X,1017,31,1025.88,-98.4298,28.9177
X,1056,36,941.34,-98.5898,28.9077
X,1059,44,1015.82,-98.5398,28.9077
X,1060,36,989,-98.5298,28.9077
X,1061,52,968.76,-98.5198,28.9077
X,1062,52,989,-98.5098,28.9077
X,1063,36,1052.46,-98.4998,28.9077
X,1064,31,1006.84,-98.4898,28.9077
X,1065,31,1052.46,-98.4798,28.9077
X,1067,52,1050.08,-98.4498,28.9077
X,1068,52,1006.84,-98.4398,28.9077
X,1069,52,1025.9,-98.4298,28.9077
X,1070,52,1025.9,-98.4198,28.9077
X,1071,52,1045.94,-98.4098,28.9077
X,1072,52,1052.46,-98.3998,28.9077
X,1073,52,1045.94,-98.3898,28.9077
X,1074,52,1004,-98.3798,28.9077
X,1079,31,1084.22,-98.3298,28.9077
X,1080,31,1066.9,-98.3098,28.9077
X,1081,44,1084.22,-98.2998,28.9077
X,1082,44,1098.16,-98.2898,28.9077
X,1128,52,689.98,-98.3798,28.8977
X,1129,36,1094.14,-98.3698,28.8977
X,1131,52,1078.12,-98.3498,28.8977
X,1132,52,1162.8,-98.3398,28.8977
X,1133,44,1066.9,-98.3298,28.8977
X,1134,36,1089.1,-98.3198,28.8977
X,1135,31,1084.22,-98.3098,28.8977
X,1137,52,1084.66,-98.2898,28.8977
X,1138,52,1084.66,-98.2698,28.8977
X,1139,52,1045.54,-98.2598,28.8977
X,1140,52,1057.54,-98.2498,28.8977
X,1141,52,1114.3,-98.2398,28.8977
X,1142,52,1172.78,-98.2298,28.8977
X,1143,52,1091.04,-98.2198,28.8977
X,1144,52,1074.44,-98.2098,28.8977
X,1184,44,1078.06,-98.3398,28.8877
X,1185,36,1083.06,-98.3298,28.8877
X,1186,36,1083.82,-98.3198,28.8877
X,1221,31,941.32,-98.5398,28.8777
X,1222,36,968.78,-98.5298,28.8777
X,1223,36,988.98,-98.5098,28.8777
X,1224,31,989.62,-98.4998,28.8777
X,1225,31,1114.88,-98.4798,28.8777
X,1273,36,940.16,-98.5598,28.8677
X,1278,52,1016.98,-98.4898,28.8677
X,1279,52,1009.44,-98.4798,28.8677
X,1280,52,1016.66,-98.4698,28.8677
X,1281,52,988.24,-98.4598,28.8677
X,1282,52,1036.76,-98.4498,28.8677
X,1289,31,1008,-98.3698,28.8677
X,1290,36,1087.38,-98.3598,28.8677
X,1291,44,1035.36,-98.3498,28.8677
X,1292,44,1120.28,-98.3398,28.8677
X,1293,44,1016.54,-98.3298,28.8677
X,1294,31,1095.42,-98.3198,28.8677
X,1295,36,1095.42,-98.3098,28.8677
X,1296,31,1105.54,-98.2998,28.8677
X,1300,44,1032.4,-98.2598,28.8677
X,1342,31,1016.66,-98.4198,28.8577
X,1347,52,1087.38,-98.3598,28.8577
X,1348,44,1087.38,-98.3498,28.8577
X,1349,44,1087.38,-98.3398,28.8577
X,1350,44,1045.66,-98.3298,28.8577
X,1351,52,983.44,-98.3198,28.8577
X,1352,52,1005.32,-98.3098,28.8577
X,1353,52,1005.32,-98.2998,28.8577
X,1354,52,1077.12,-98.2898,28.8577
X,1357,31,1168.66,-98.2598,28.8577
X,1358,31,1191.06,-98.2498,28.8577
X,1359,31,1077.46,-98.2398,28.8577
X,1360,36,1107,-98.2298,28.8577
X,1361,36,1085.72,-98.2198,28.8577
X,1362,44,1077.46,-98.2098,28.8577
X,1363,36,1020.1,-98.1898,28.8577
X,1364,31,1020.1,-98.1798,28.8577
X,1365,31,697.8,-98.1698,28.8577
X,1412,36,1005.32,-98.2898,28.8477
X,1418,52,880.08,-98.2298,28.8477
X,1419,44,1107,-98.2198,28.8477
X,1420,44,1103.54,-98.2098,28.8477
X,1422,52,1077.42,-98.1898,28.8477
X,1423,52,697.8,-98.1798,28.8477
X,1572,36,940.02,-98.5498,28.8177
X,1573,31,990.24,-98.5398,28.8177
X,1639,31,939.98,-98.5098,28.8077
X,1640,31,1043.42,-98.4998,28.8077
X,1641,36,1098.14,-98.4898,28.8077
X,1642,36,1036.68,-98.4798,28.8077
X,1643,31,1034.42,-98.4698,28.8077
X,1644,31,1000.16,-98.4598,28.8077
X,1676,31,1106.86,-98.1298,28.8077
X,1703,44,940.02,-98.5298,28.7977
X,1704,52,989.12,-98.5198,28.7977
X,1711,31,1035.64,-98.4398,28.7977
X,1712,31,1050.62,-98.4298,28.7977
X,1771,36,940.02,-98.5298,28.7877
X,1773,44,989.14,-98.5098,28.7877
X,1781,31,1016.54,-98.4098,28.7877
X,1782,31,1098.06,-98.3998,28.7877
X,1787,52,1087.28,-98.3498,28.7877
X,1788,44,1087.28,-98.3398,28.7877
X,1842,36,1036.62,-98.4598,28.7777
X,1843,36,1036.62,-98.4498,28.7777
X,1844,44,1036.62,-98.4398,28.7777
X,1845,52,1036.62,-98.4298,28.7777
X,1850,31,1087.28,-98.3698,28.7777
X,1852,31,1097.4,-98.3498,28.7777
X,1853,31,1035.36,-98.3398,28.7777
X,1857,52,1113.44,-98.2998,28.7777
X,1858,36,1083.34,-98.2898,28.7777
X,1908,31,1098.02,-98.4698,28.7677
X,1910,31,948.86,-98.4498,28.7677
X,1911,36,1035.56,-98.4398,28.7677
X,1912,36,948.86,-98.4298,28.7677
X,1913,44,1036.58,-98.4198,28.7677
X,1914,44,1016.8,-98.4098,28.7677
X,1915,52,1098.02,-98.3898,28.7677
X,1921,31,1108.18,-98.3298,28.7677
X,1926,52,1105.48,-98.2698,28.7677
X,1927,44,1168.48,-98.2598,28.7677
X,1989,31,1112.96,-98.2898,28.7577
X,1990,31,1005.24,-98.2798,28.7577
