VARIABLE,INDEX,DEPOT,VALUE,YLT,XLN
X,1070,52,1025.9,28.9077,-98.4198
X,1071,52,1045.94,28.9077,-98.4098
X,1072,52,1052.46,28.9077,-98.3998
X,1073,45,1045.94,28.9077,-98.3898
X,1074,3,1004,28.9077,-98.3798
X,1075,3,1040.74,28.9077,-98.3698
X,1076,3,1079.9,28.9077,-98.3598
X,1077,11,1089.34,28.9077,-98.3498
X,1079,31,1084.22,28.9077,-98.3298
X,1080,31,1066.9,28.9077,-98.3098
X,1081,45,1084.22,28.9077,-98.2998
X,1082,45,1098.16,28.9077,-98.2898
X,1083,45,1084.68,28.9077,-98.2698
X,1084,36,1066.9,28.9077,-98.2598
X,1129,36,1094.14,28.8977,-98.3698
X,1131,52,1078.12,28.8977,-98.3498
X,1132,52,1162.8,28.8977,-98.3398
X,1133,45,1066.9,28.8977,-98.3298
X,1134,36,1089.1,28.8977,-98.3198
X,1135,31,1084.22,28.8977,-98.3098
X,1136,3,998.2,28.8977,-98.2998
X,1138,52,1084.66,28.8977,-98.2698
X,1139,3,1045.54,28.8977,-98.2598
X,1140,52,1057.54,28.8977,-98.2498
X,1141,45,1114.3,28.8977,-98.2398
X,1142,52,1172.78,28.8977,-98.2298
X,1143,52,1091.04,28.8977,-98.2198
X,1144,3,1074.44,28.8977,-98.2098
X,1184,45,1078.06,28.8877,-98.3398
X,1185,36,1083.06,28.8877,-98.3298
X,1186,36,1083.82,28.8877,-98.3198
X,1187,11,1084.8,28.8877,-98.3098
X,1217,3,941.32,28.8777,-98.5898
X,1218,11,988.98,28.8777,-98.5698
X,1221,31,941.32,28.8777,-98.5398
X,1222,36,968.78,28.8777,-98.5298
X,1223,36,988.98,28.8777,-98.5098
X,1224,31,989.62,28.8777,-98.4998
X,1225,36,1114.88,28.8777,-98.4798
X,1272,36,960.66,28.8677,-98.5798
X,1273,36,940.16,28.8677,-98.5598
X,1274,36,940.16,28.8677,-98.5498
X,1278,3,1016.98,28.8677,-98.4898
X,1279,3,1009.44,28.8677,-98.4798
X,1280,52,1016.66,28.8677,-98.4698
X,1281,52,988.24,28.8677,-98.4598
X,1282,52,1036.76,28.8677,-98.4498
X,1283,3,1036.76,28.8677,-98.4398
X,1284,3,984.78,28.8677,-98.4298
X,1285,3,1036.76,28.8677,-98.4198
X,1286,11,988.24,28.8677,-98.4098
X,1288,31,1004.88,28.8677,-98.3898
X,1289,31,1008,28.8677,-98.3698
X,1290,36,1087.38,28.8677,-98.3598
X,1291,45,1035.36,28.8677,-98.3498
X,1292,45,1120.28,28.8677,-98.3398
X,1293,45,1016.54,28.8677,-98.3298
X,1294,36,1095.42,28.8677,-98.3198
X,1295,36,1095.42,28.8677,-98.3098
X,1296,31,1105.54,28.8677,-98.2998
X,1297,31,1105.54,28.8677,-98.2898
X,1300,45,1032.4,28.8677,-98.2598
X,1341,45,971.02,28.8577,-98.4298
X,1342,31,1016.66,28.8577,-98.4198
X,1343,31,1036.72,28.8577,-98.4098
X,1346,3,1004.94,28.8577,-98.3798
X,1347,52,1087.38,28.8577,-98.3598
X,1348,45,1087.38,28.8577,-98.3498
X,1349,45,1087.38,28.8577,-98.3398
X,1350,45,1045.66,28.8577,-98.3298
X,1351,45,983.44,28.8577,-98.3198
X,1352,52,1005.32,28.8577,-98.3098
X,1353,52,1005.32,28.8577,-98.2998
X,1354,52,1077.12,28.8577,-98.2898
X,1355,3,1005.32,28.8577,-98.2798
X,1356,3,1113.12,28.8577,-98.2698
X,1357,31,1168.66,28.8577,-98.2598
X,1358,36,1191.06,28.8577,-98.2498
X,1359,31,1077.46,28.8577,-98.2398
X,1360,36,1107,28.8577,-98.2298
X,1361,36,1085.72,28.8577,-98.2198
X,1362,45,1077.46,28.8577,-98.2098
X,1363,36,1020.1,28.8577,-98.1898
X,1364,31,1020.1,28.8577,-98.1798
X,1365,31,697.8,28.8577,-98.1698
X,1411,45,1058.34,28.8477,-98.2998
X,1412,36,1005.32,28.8477,-98.2898
X,1417,3,1107,28.8477,-98.2398
X,1419,45,1107,28.8477,-98.2198
X,1420,45,1103.54,28.8477,-98.2098
X,1422,52,1077.42,28.8477,-98.1898
X,1423,52,697.8,28.8477,-98.1798
X,1425,3,715.26,28.8477,-98.1598
X,1572,36,940.02,28.8177,-98.5498
X,1573,31,990.24,28.8177,-98.5398
X,1577,3,1098.1,28.8177,-98.4998
X,1637,3,990.2,28.8077,-98.5298
X,1638,11,989.14,28.8077,-98.5198
X,1639,31,939.98,28.8077,-98.5098
X,1640,31,1043.42,28.8077,-98.4998
X,1641,36,1098.14,28.8077,-98.4898
X,1642,36,1036.68,28.8077,-98.4798
X,1643,31,1034.42,28.8077,-98.4698
X,1644,31,1000.16,28.8077,-98.4598
X,1646,11,1052.18,28.8077,-98.4398
X,1647,3,1004.82,28.8077,-98.4298
X,1648,45,1004.82,28.8077,-98.4198
X,1649,36,1035.64,28.8077,-98.4098
X,1676,31,1106.86,28.8077,-98.1298
X,1703,45,940.02,28.7977,-98.5298
X,1704,52,989.12,28.7977,-98.5198
X,1706,3,1032.84,28.7977,-98.4898
X,1707,3,1098.12,28.7977,-98.4798
X,1708,11,1000.14,28.7977,-98.4698
X,1711,31,1035.64,28.7977,-98.4398
X,1712,31,1050.62,28.7977,-98.4298
X,1715,11,955.9,28.7977,-98.3998
X,1717,3,984.82,28.7977,-98.3798
X,1718,45,1087.32,28.7977,-98.3598
X,1719,36,1087.32,28.7977,-98.3498
X,1771,36,940.02,28.7877,-98.5298
X,1773,45,989.14,28.7877,-98.5098
X,1777,3,1004.86,28.7877,-98.4498
X,1781,31,1016.54,28.7877,-98.4098
X,1782,31,1098.06,28.7877,-98.3998
X,1784,11,970.96,28.7877,-98.3798
X,1786,3,1087.28,28.7877,-98.3598
X,1787,52,1087.28,28.7877,-98.3498
X,1836,36,1046.02,28.7777,-98.5198
X,1837,31,1046.02,28.7777,-98.5098
X,1840,31,1039.78,28.7777,-98.4798
X,1841,36,955.82,28.7777,-98.4698
X,1842,36,1036.62,28.7777,-98.4598
X,1843,36,1036.62,28.7777,-98.4498
X,1844,45,1036.62,28.7777,-98.4398
X,1845,52,1036.62,28.7777,-98.4298
X,1847,3,1098.06,28.7777,-98.3998
X,1848,11,1028.76,28.7777,-98.3898
X,1849,11,1028.76,28.7777,-98.3798
X,1850,31,1087.28,28.7777,-98.3698
