VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
X,2993,52,,1181.2800,
X,2994,36,,1178.8600,
X,3006,44,,1167.0600,
X,3051,36,,1342.8600,
X,3052,52,,1161.9400,
X,3053,44,,1185.5800,
X,3054,31,,1204.8000,
X,3056,52,,1064.6800,
X,3057,44,,1041.1400,
X,3058,44,,1064.6800,
X,3059,36,,1104.0800,
X,3060,31,,1095.4800,
X,3062,52,,1022.1200,
X,3063,44,,0.0000,
X,3063,52,,1032.0800,
X,3064,31,,1094.4000,
X,3066,31,,1197.7000,
X,3118,31,,1136.8000,
X,3120,44,,1164.4400,
X,3122,44,,1057.8800,
X,3123,36,,1259.5200,
X,3124,31,,1217.4400,
X,3125,52,,1217.4400,
X,3126,44,,1248.2200,
X,3127,44,,1190.8200,
X,3128,36,,1187.7600,
X,3129,31,,1169.7800,
X,3130,31,,798.0000,
X,3131,17,,0.0000,
X,3132,44,,0.0000,
X,3132,52,,1162.9400,
X,3133,44,,1219.7200,
X,3134,31,,1073.0000,
X,3136,36,,1248.7400,
X,3137,44,,1322.0800,
X,3190,36,,1303.5400,
X,3191,31,,1303.5400,
X,3192,44,,1163.1200,
X,3193,36,,1217.9600,
X,3194,31,,1194.8000,
X,3195,52,,1147.3400,
X,3196,44,,724.5800,
X,3197,36,,724.5800,
X,3198,36,,1162.1000,
X,3199,31,,1197.2000,
X,3200,31,,1242.1000,
X,3201,44,,0.0000,
X,3201,52,,1162.1000,
X,3202,44,,1229.0000,
X,3203,36,,1162.1000,
X,3204,52,,1104.7200,
X,3205,36,,1104.7200,
X,3206,52,,1064.6600,
X,3207,31,,1136.5800,
X,3208,36,,1147.9200,
X,3257,44,,1147.3200,
X,3259,44,,1186.8200,
X,3260,36,,1092.0600,
X,3262,36,,1114.0200,
X,3263,36,,1087.0600,
X,3264,52,,1199.7600,
X,3265,44,,0.0000,
X,3265,52,,1194.5400,
X,3266,36,,1194.5400,
X,3267,36,,1168.0600,
X,3268,36,,1168.0600,
X,3269,31,,1175.6200,
X,3271,44,,0.0000,
X,3271,52,,1108.0800,
X,3272,44,,778.6800,
X,3273,36,,778.6800,
X,3274,52,,1131.9600,
X,3275,31,,1131.9600,
X,3276,52,,1131.9600,
X,3277,31,,1180.9200,
X,3278,31,,1180.9200,
X,3328,44,,1131.9600,
X,3329,44,,1152.5400,
X,3330,31,,1137.2000,
X,3331,44,,1131.9600,
X,3332,36,,1180.9200,
X,3333,31,,1131.9600,
X,3334,52,,1033.6000,
X,3335,44,,1009.1800,
X,3336,36,,1033.6000,
X,3337,36,,1135.6800,
X,3338,31,,1088.6600,
X,3339,31,,1073.0000,
X,3340,17,,0.0000,
X,3341,52,,1173.5400,
