,Origin GEOID,Destination GID,Distance (km)
1,732,1,80.6411
1,733,1,78.2821
1,734,1,78.6952
1,735,1,80.1309
1,736,1,81.7121
1,737,1,77.1662
1,738,1,69.1504
1,739,1,66.3612
1,740,1,65.3827
1,741,1,63.7457
1,742,1,66.8312
1,743,1,66.8443
1,744,1,63.5819
1,745,1,63.147
0,746,1,62.6555
1,747,1,62.9974
1,748,1,64.4265
1,749,1,59.8049
1,750,1,59.493
1,751,1,56.2256
1,752,1,55.2522
1,753,1,54.7949
1,754,1,54.0151
1,755,1,44.7644
1,756,1,44.0385
1,757,1,43.6139
1,758,1,47.1498
1,759,1,49.0215
1,760,1,45.9157
1,761,1,44.6072
1,762,1,46.5486
1,763,1,46.3104
1,764,1,46.9662
1,765,1,47.8917
1,766,1,48.9083
1,767,1,51.0215
1,768,1,51.8844
1,769,1,53.4687
1,770,1,55.6994
1,771,1,55.8832
1,772,1,55.7545
1,773,1,56.2233
1,774,1,87.4046
1,775,1,87.5581
1,776,1,87.4063
1,777,1,88.6558
1,778,1,87.7883
1,779,1,87.9648
1,780,1,79.5224
1,781,1,78.6388
1,782,1,78.0457
1,783,1,77.7469
1,784,1,77.7257
1,785,1,79.7104
1,786,1,75.6216
1,787,1,74.5419
1,788,1,73.8995
1,789,1,66.8321
1,790,1,65.1913
1,791,1,65.1756
1,792,1,66.023
1,793,1,65.6916
1,794,1,64.7747
1,795,1,63.8578
1,796,1,63.0774
0,797,1,64.533
1,798,1,64.7285
1,799,1,60.8585
1,800,1,61.5659
1,801,1,57.2672
1,802,1,54.5258
1,803,1,53.8015
1,804,1,53.726
1,805,1,45.6302
0,806,1,45.1468
1,807,1,45.5313
1,808,1,46.6135
1,809,1,46.289
1,810,1,46.5462
1,811,1,43.4914
1,812,1,44.6639
0,813,1,45.9173
1,814,1,49.6821
1,815,1,49.638
0,816,1,49.6113
1,817,1,52.4835
1,818,1,53.0622
1,819,1,55.8728
1,820,1,56.4117
1,821,1,56.9776
0,822,1,58.7326
1,823,1,57.263
1,824,1,57.9149
1,825,1,88.5645
1,826,1,87.7572
1,827,1,90.1021
1,828,1,90.0843
1,829,1,91.8804
1,830,1,91.988
1,831,1,80.6389
1,832,1,80.6389
1,833,1,77.4193
0,834,1,76.9423
1,835,1,75.5258
1,836,1,74.6076
1,837,1,74.0452
1,838,1,74.367
1,839,1,73.0625
1,840,1,72.1897
1,841,1,72.6169
1,842,1,66.3678
0,843,1,71.5295
1,844,1,64.7573
1,845,1,63.9898
1,846,1,64.2467
1,847,1,63.8668
1,848,1,62.3726
1,849,1,60.8481
1,850,1,61.1736
1,851,1,62.7756
1,852,1,55.4669
1,853,1,53.7918
1,854,1,53.2422
1,855,1,52.3857
1,856,1,51.352
1,857,1,50.8597
1,858,1,45.9061
1,859,1,46.956
1,860,1,46.241
1,861,1,44.8284
1,862,1,44.3225
1,863,1,45.5996
1,864,1,47.2669
1,865,1,48.5879
1,866,1,49.3079
1,867,1,52.9242
1,868,1,53.8009
1,869,1,54.7849
1,870,1,54.9628
1,871,1,55.8573
1,872,1,59.0402
1,873,1,59.703
1,874,1,59.0775
1,875,1,58.6704
1,876,1,59.5119
1,877,1,89.5286
1,878,1,90.4498
1,879,1,90.4498
1,880,1,92.0463
1,881,1,91.7629
1,882,1,84.9612
1,883,1,80.433
1,884,1,79.7769
1,885,1,78.389
1,886,1,78.2374
1,887,1,75.2178
0,888,1,74.1975
1,889,1,73.2936
1,890,1,72.3869
1,891,1,71.4846
1,892,1,71.1916
1,893,1,72.5064
1,894,1,70.0824
1,895,1,70.6774
1,896,1,68.4458
1,897,1,63.2041
1,898,1,61.8482
1,899,1,60.9264
0,900,1,61.0965
1,901,1,59.8002
1,902,1,58.1225
1,903,1,57.9126
1,904,1,57.6929
1,905,1,54.2883
0,906,1,53.3458
1,907,1,51.7755
0,908,1,49.8945
1,909,1,48.1632
1,910,1,47.6173
1,911,1,46.7353
1,912,1,47.6353
1,913,1,48.8703
1,914,1,46.7916
1,915,1,48.3887
1,916,1,49.5156
1,917,1,50.3675
1,918,1,51.3408
1,919,1,54.9343
1,920,1,54.9464
1,921,1,55.3403
1,922,1,58.129
1,923,1,58.3482
1,924,1,59.3766
1,925,1,60.6705
1,926,1,62.1614
1,927,1,60.147
1,928,1,94.3264
1,929,1,94.3264
1,930,1,90.4498
1,931,1,92.0974
1,932,1,92.7567
0,933,1,84.4092
1,934,1,84.1993
1,935,1,79.8435
1,936,1,79.4312
0,937,1,78.8908
1,938,1,76.929
0,939,1,75.4445
1,940,1,75.3227
1,941,1,72.5777
1,942,1,71.8508
1,943,1,70.3032
1,944,1,69.2675
1,945,1,68.3535
1,946,1,67.6055
1,947,1,67.3969
1,948,1,61.5826
1,949,1,61.1052
1,950,1,61.4844
1,951,1,60.8947
1,952,1,58.6862
1,953,1,57.4356
1,954,1,57.1529
1,955,1,56.6455
1,956,1,55.5962
1,957,1,52.5779
0,958,1,51.7262
0,959,1,50.7007
0,960,1,49.4154
1,961,1,49.241
1,962,1,48.7684
1,963,1,53.3822
0,964,1,48.4204
1,965,1,49.2152
0,966,1,49.6483
1,967,1,48.9962
1,968,1,49.5652
1,969,1,55.25
1,970,1,55.9442
1,971,1,56.5419
1,972,1,56.2769
1,973,1,56.5129
1,974,1,59.4031
1,975,1,59.4492
1,976,1,61.0799
1,977,1,60.8525
1,978,1,63.5089
1,979,1,63.8767
1,980,1,61.6232
1,981,1,93.7641
0,982,1,93.8077
0,983,1,85.3714
1,984,1,85.3714
1,985,1,84.2295
0,986,1,83.0331
0,987,1,82.3473
1,988,1,80.8141
1,989,1,80.337
1,990,1,78.7679
1,991,1,76.929
1,992,1,75.9671
1,993,1,74.5572
1,994,1,73.5651
0,995,1,71.6709
0,996,1,70.8063
1,997,1,70.0286
0,998,1,67.9742
1,999,1,67.0417
1,1000,1,66.144
1,1001,1,65.2531
0,1002,1,60.9686
0,1003,1,59.7621
1,1004,1,59.4674
1,1005,1,58.3074
1,1006,1,56.8512
1,1007,1,55.8957
1,1008,1,54.9238
1,1009,1,54.5228
1,1010,1,52.9746
0,1011,1,52.1739
1,1012,1,51.2235
1,1013,1,50.9898
1,1014,1,52.5802
1,1015,1,53.4319
1,1016,1,51.966
1,1017,1,51.0072
1,1018,1,51.1198
1,1019,1,52.9597
1,1020,1,53.2055
1,1021,1,53.9494
1,1022,1,54.4741
1,1023,1,57.3566
1,1024,1,57.3652
1,1025,1,57.1652
1,1026,1,57.5318
1,1027,1,58.5076
1,1028,1,60.3852
1,1029,1,62.9911
1,1030,1,63.6203
1,1031,1,62.4149
1,1032,1,63.5262
1,1033,1,63.5262
1,1034,1,62.0109
1,1035,1,89.5319
1,1036,1,88.8305
1,1037,1,88.1646
0,1038,1,85.3714
1,1039,1,84.8776
1,1040,1,84.0297
1,1041,1,82.2605
0,1042,1,82.0871
0,1043,1,82.9363
1,1044,1,79.003
0,1045,1,78.5518
1,1046,1,75.964
0,1047,1,75.0717
0,1048,1,74.7959
0,1049,1,74.9629
1,1050,1,74.1528
1,1051,1,70.1957
1,1052,1,70.1957
1,1053,1,68.1131
1,1054,1,68.3799
1,1055,1,64.7446
1,1056,1,63.8741
1,1057,1,62.9957
1,1058,1,62.1518
1,1059,1,59.6357
1,1060,1,57.5408
1,1061,1,57.5431
1,1062,1,56.4305
1,1063,1,55.0722
0,1064,1,55.3511
1,1065,1,52.7898
1,1066,1,53.7195
1,1067,1,51.7858
1,1068,1,52.7795
1,1069,1,52.5376
1,1070,1,50.8533
1,1071,1,49.9101
0,1072,1,49.7653
1,1073,1,51.6112
1,1074,1,52.013
1,1075,1,53.1073
1,1076,1,53.9879
1,1077,1,58.473
1,1078,1,58.9337
1,1079,1,58.9712
1,1080,1,59.8886
0,1081,1,59.8441
1,1082,1,65.0442
1,1083,1,64.4181
1,1084,1,63.8778
1,1085,1,63.7561
0,1086,1,64.1072
1,1087,1,64.7383
1,1088,1,63.5237
1,1089,1,60.7403
1,1090,1,88.7325
1,1091,1,88.0452
0,1092,1,86.9334
1,1093,1,86.3093
1,1094,1,86.2745
1,1095,1,83.7261
1,1096,1,83.2598
1,1097,1,83.9932
1,1098,1,84.4808
1,1099,1,78.8738
1,1100,1,77.9948
1,1101,1,76.751
1,1102,1,75.7156
1,1103,1,75.7012
1,1104,1,76.7209
1,1105,1,77.2818
1,1106,1,69.9118
1,1107,1,69.8685
1,1108,1,69.1566
1,1109,1,68.816
1,1110,1,64.2447
1,1111,1,63.3697
1,1112,1,62.5056
1,1113,1,61.6365
0,1114,1,60.9953
0,1115,1,61.0333
1,1116,1,59.2219
1,1117,1,55.6832
1,1118,1,54.9144
1,1119,1,54.4954
1,1120,1,56.8688
1,1121,1,54.7697
1,1122,1,53.8548
1,1123,1,53.5083
1,1124,1,52.4744
0,1125,1,52.5677
1,1126,1,50.0173
1,1127,1,52.3978
1,1128,1,52.1285
1,1129,1,52.5359
1,1130,1,57.6922
1,1131,1,60.4974
1,1132,1,60.1282
1,1133,1,61.8437
1,1134,1,62.652
1,1135,1,60.8886
1,1136,1,61.4103
1,1137,1,66.4735
0,1138,1,65.6837
1,1139,1,67.0503
1,1140,1,64.954
1,1141,1,65.0241
1,1142,1,62.4367
1,1143,1,61.3083
1,1144,1,60.5021
1,1145,1,90.4324
1,1146,1,87.9274
1,1147,1,86.7368
1,1148,1,85.6598
1,1149,1,85.6948
1,1150,1,84.7208
1,1151,1,84.352
1,1152,1,84.6007
0,1153,1,82.9777
1,1154,1,79.9569
1,1155,1,79.0016
1,1156,1,76.8781
1,1157,1,76.895
1,1158,1,74.8938
1,1159,1,77.3986
1,1160,1,72.229
1,1161,1,72.229
1,1162,1,66.8401
1,1163,1,66.8343
1,1164,1,64.5766
1,1165,1,63.603
1,1166,1,62.8005
1,1167,1,62.7045
1,1168,1,61.8603
1,1169,1,60.1437
0,1170,1,59.6067
0,1171,1,57.6126
1,1172,1,56.3638
1,1173,1,56.6742
1,1174,1,57.6471
1,1175,1,55.1568
0,1176,1,54.3723
1,1177,1,57.6949
1,1178,1,56.722
1,1179,1,56.1576
1,1180,1,55.1738
0,1181,1,53.9607
1,1182,1,51.1273
1,1183,1,55.0142
1,1184,1,55.8064
1,1185,1,56.6777
1,1186,1,57.4814
1,1187,1,58.6928
1,1188,1,59.6647
1,1189,1,60.7088
1,1190,1,61.6828
1,1191,1,62.9479
1,1192,1,64.5397
1,1193,1,66.7915
1,1194,1,66.4875
1,1195,1,77.221
1,1196,1,76.5935
1,1197,1,63.8678
1,1198,1,62.7578
1,1199,1,62.4807
1,1200,1,62.6562
1,1201,1,81.9428
1,1202,1,89.6345
1,1203,1,88.5676
0,1204,1,87.1194
1,1205,1,85.7622
1,1206,1,84.5734
1,1207,1,83.4621
1,1208,1,83.6071
1,1209,1,84.9174
1,1210,1,81.9058
1,1211,1,80.2314
1,1212,1,79.288
1,1213,1,78.3439
1,1214,1,78.0197
1,1215,1,74.2375
1,1216,1,73.2638
1,1217,1,72.2987
1,1218,1,67.5175
1,1219,1,66.5393
1,1220,1,73
1,1221,1,64.5959
1,1222,1,63.6223
1,1223,1,63.0231
1,1224,1,61.6061
1,1225,1,60.6336
1,1226,1,59.767
0,1227,1,58.6296
0,1228,1,58.2247
1,1229,1,58.9353
1,1230,1,60.1868
1,1231,1,57.4051
1,1232,1,56.4357
1,1233,1,55.2439
1,1234,1,58.9213
1,1235,1,57.955
1,1236,1,57.0464
1,1237,1,54.0835
0,1238,1,53.0271
1,1239,1,52.7557
1,1240,1,53.9102
1,1241,1,54.708
1,1242,1,55.6792
1,1243,1,56.8003
1,1244,1,59.8346
1,1245,1,60.1487
1,1246,1,61.3303
1,1247,1,62.3005
1,1248,1,64.1234
0,1249,1,65.1192
1,1250,1,66.123
1,1251,1,66.6951
1,1252,1,76.3704
1,1253,1,75.7432
1,1254,1,75.64
