index,RunID, LON, LAT,tag,Coord_ID,YIELD,land cover,county,Distance to Plant
122,226,-98.5898,29.1277,-98.5898.29.1277,226,11.944,52,ATASCOSA,48.8916
123,227,-98.5798,29.1277,-98.5798.29.1277,227,11.944,71,ATASCOSA,50.2043
124,228,-98.5698,29.1277,-98.5698.29.1277,228,11.655,71,ATASCOSA,50.9624
125,230,-98.5498,29.1277,-98.5498.29.1277,230,11.655,71,ATASCOSA,46.1126
126,231,-98.5398,29.1277,-98.5398.29.1277,231,11.944,52,ATASCOSA,46.2388
127,233,-98.5198,29.1277,-98.5198.29.1277,233,11.655,52,ATASCOSA,42.176
128,235,-98.4998,29.1277,-98.4998.29.1277,235,11.744,71,ATASCOSA,39.9645
129,236,-98.4898,29.1277,-98.4898.29.1277,236,11.744,52,ATASCOSA,36.294
130,238,-98.4698,29.1277,-98.4698.29.1277,238,11.744,81,ATASCOSA,32.2857
131,239,-98.4598,29.1277,-98.4598.29.1277,239,11.7406,82,ATASCOSA,31.28
132,240,-98.4498,29.1277,-98.4498.29.1277,240,11.744,52,ATASCOSA,31.8876
133,241,-98.7998,29.1177,-98.7998.29.1177,241,11.0586,81,ATASCOSA,76.8745
134,249,-98.7198,29.1177,-98.7198.29.1177,249,11.5416,52,ATASCOSA,61.8914
135,250,-98.7098,29.1177,-98.7098.29.1177,250,11.1236,81,ATASCOSA,61.8914
136,251,-98.6998,29.1177,-98.6998.29.1177,251,10.463,71,ATASCOSA,61.1623
137,253,-98.6798,29.1177,-98.6798.29.1177,253,11.438,52,ATASCOSA,59.8719
138,254,-98.6698,29.1177,-98.6698.29.1177,254,11.438,52,ATASCOSA,60.7822
139,255,-98.6598,29.1177,-98.6598.29.1177,255,11.438,71,ATASCOSA,61.6396
140,257,-98.6398,29.1177,-98.6398.29.1177,257,11.1236,81,ATASCOSA,56.1902
141,259,-98.6198,29.1177,-98.6198.29.1177,259,11.6726,52,ATASCOSA,53.9726
142,260,-98.6098,29.1177,-98.6098.29.1177,260,11.3166,81,ATASCOSA,51.0626
143,261,-98.5998,29.1177,-98.5998.29.1177,261,11.6726,81,ATASCOSA,50.4649
144,262,-98.5898,29.1177,-98.5898.29.1177,262,11.6726,81,ATASCOSA,50.0069
145,263,-98.5798,29.1177,-98.5798.29.1177,263,11.6726,81,ATASCOSA,50.5761
146,264,-98.5698,29.1177,-98.5698.29.1177,264,11.6726,82,ATASCOSA,52.3416
147,266,-98.5498,29.1177,-98.5498.29.1177,266,11.3166,52,ATASCOSA,45.182
148,267,-98.5398,29.1177,-98.5398.29.1177,267,11.3166,82,ATASCOSA,44.5917
149,268,-98.5298,29.1177,-98.5298.29.1177,268,11.6726,82,ATASCOSA,42.7556
150,269,-98.5198,29.1177,-98.5198.29.1177,269,11.3166,81,ATASCOSA,40.5172
151,270,-98.5098,29.1177,-98.5098.29.1177,270,11.3166,81,ATASCOSA,39.883
152,271,-98.4998,29.1177,-98.4998.29.1177,271,10.9638,52,ATASCOSA,38.8086
153,273,-98.4798,29.1177,-98.4798.29.1177,273,11.4706,52,ATASCOSA,37.023
154,274,-98.4698,29.1177,-98.4698.29.1177,274,12.4316,81,ATASCOSA,37.8696
155,275,-98.4598,29.1177,-98.4598.29.1177,275,11.5058,81,ATASCOSA,38.9284
156,276,-98.4498,29.1177,-98.4498.29.1177,276,11.4164,81,ATASCOSA,31.2676
157,277,-98.4398,29.1177,-98.4398.29.1177,277,11.4164,71,ATASCOSA,31.1321
158,278,-98.4298,29.1177,-98.4298.29.1177,278,11.329,71,ATASCOSA,29.8477
159,279,-98.4198,29.1177,-98.4198.29.1177,279,11.4164,82,ATASCOSA,35.278
