VARIABLE,DEPOT,PARCEL,VALUE,Coord_ID,YLT,XLON
X,0,869,1044.02,1075,28.9477,-98.3998
X,0,870,1014.08,1076,28.9477,-98.3898
X,0,871,0,1077,28.9477,-98.3798
X,0,871,1053.54,1077,28.9477,-98.3798
X,0,871,0,1077,28.9477,-98.3798
X,0,872,0,1078,28.9477,-98.3698
X,0,872,1059.92,1078,28.9477,-98.3698
X,0,872,0,1078,28.9477,-98.3698
X,0,874,1086.96,1080,28.9477,-98.3498
X,0,875,0,1082,28.9477,-98.3298
X,0,875,1078.22,1082,28.9477,-98.3298
X,0,876,1081.06,1083,28.9477,-98.3198
X,0,877,1032.26,1084,28.9477,-98.3098
X,0,919,0,1131,28.9377,-98.3798
X,0,919,1038.54,1131,28.9377,-98.3798
X,0,920,1031.5,1132,28.9377,-98.3698
X,0,921,1035.9,1133,28.9377,-98.3598
X,0,922,1086.96,1134,28.9377,-98.3498
X,0,923,1082.62,1135,28.9377,-98.3398
X,0,924,1078.16,1136,28.9377,-98.3298
X,0,925,1083.16,1137,28.9377,-98.3198
X,0,926,1032.24,1139,28.9377,-98.2998
X,0,927,1026.64,1140,28.9377,-98.2898
X,0,928,1007.44,1141,28.9377,-98.2798
X,0,929,1063.6,1142,28.9377,-98.2698
X,0,930,1032.24,1143,28.9377,-98.2598
X,0,931,1048.16,1144,28.9377,-98.2498
X,0,931,0,1144,28.9377,-98.2498
X,0,1001,946.6,1220,28.9177,-98.6198
X,0,1002,946.6,1221,28.9177,-98.6098
X,0,1002,0,1221,28.9177,-98.6098
X,0,1003,1009.64,1222,28.9177,-98.5998
X,0,1003,0,1222,28.9177,-98.5998
X,0,1004,1009.64,1223,28.9177,-98.5898
X,0,1005,1098.36,1224,28.9177,-98.5798
X,0,1006,1099.54,1225,28.9177,-98.5698
X,0,1008,932.42,1229,28.9177,-98.5298
X,0,1009,1009.64,1230,28.9177,-98.5198
X,0,1010,1030.48,1231,28.9177,-98.5098
X,0,1011,0,1232,28.9177,-98.4998
X,0,1011,0,1232,28.9177,-98.4998
X,0,1011,962.74,1232,28.9177,-98.4998
X,0,1012,0,1233,28.9177,-98.4898
X,0,1012,1055,1233,28.9177,-98.4898
X,0,1012,0,1233,28.9177,-98.4898
X,0,1013,1055.68,1234,28.9177,-98.4798
X,0,1014,0,1235,28.9177,-98.4698
X,0,1014,1008.9,1235,28.9177,-98.4698
X,0,1014,0,1235,28.9177,-98.4698
X,0,1015,1055,1236,28.9177,-98.4598
X,0,1016,1055,1237,28.9177,-98.4498
X,0,1017,1032.36,1239,28.9177,-98.4298
X,0,1054,946.6,1279,28.9077,-98.6098
X,0,1056,946.6,1281,28.9077,-98.5898
X,0,1057,1009.6,1282,28.9077,-98.5798
X,0,1059,0,1286,28.9077,-98.5398
X,0,1059,0,1286,28.9077,-98.5398
X,0,1059,1035.18,1286,28.9077,-98.5398
X,0,1060,1009.6,1287,28.9077,-98.5298
X,0,1062,1009.6,1289,28.9077,-98.5098
X,0,1063,1055,1290,28.9077,-98.4998
X,0,1064,1008.9,1291,28.9077,-98.4898
X,0,1065,1055,1292,28.9077,-98.4798
X,0,1067,1055.68,1295,28.9077,-98.4498
X,0,1068,1008.9,1296,28.9077,-98.4398
X,0,1069,1032.34,1297,28.9077,-98.4298
X,0,1070,1032.34,1298,28.9077,-98.4198
X,0,1071,1045.64,1299,28.9077,-98.4098
X,0,1072,1055,1300,28.9077,-98.3998
X,0,1073,0,1301,28.9077,-98.3898
X,0,1074,1001.66,1302,28.9077,-98.3798
X,0,1075,1041.98,1303,28.9077,-98.3698
X,0,1076,1078.84,1304,28.9077,-98.3598
X,0,1077,1092.8,1305,28.9077,-98.3498
X,0,1079,1078.18,1307,28.9077,-98.3298
X,0,1080,1063.66,1308,28.9077,-98.3098
X,0,1081,1078.18,1309,28.9077,-98.2998
X,0,1082,0,1310,28.9077,-98.2898
X,0,1082,0,1310,28.9077,-98.2898
X,0,1082,1093.34,1310,28.9077,-98.2898
X,0,1083,1087.5,1312,28.9077,-98.2698
X,0,1084,1063.66,1313,28.9077,-98.2598
X,0,1129,1096.18,1361,28.8977,-98.3698
X,0,1131,1080.24,1363,28.8977,-98.3498
X,0,1132,1154.4,1364,28.8977,-98.3398
X,0,1133,0,1365,28.8977,-98.3298
X,0,1133,0,1365,28.8977,-98.3298
X,0,1133,1063.64,1365,28.8977,-98.3298
X,0,1134,1083.3,1366,28.8977,-98.3198
X,0,1135,1078.14,1367,28.8977,-98.3098
X,0,1136,991.92,1368,28.8977,-98.2998
X,0,1138,1087.5,1371,28.8977,-98.2698
X,0,1138,0,1371,28.8977,-98.2698
X,0,1139,1041.2,1372,28.8977,-98.2598
X,0,1140,1059.02,1373,28.8977,-98.2498
X,0,1141,1111.88,1374,28.8977,-98.2398
X,0,1141,0,1374,28.8977,-98.2398
X,0,1142,1170.54,1375,28.8977,-98.2298
X,0,1143,1081.96,1376,28.8977,-98.2198
X,0,1144,1065.2,1377,28.8977,-98.2098
X,0,1184,1080.16,1424,28.8877,-98.3398
X,0,1185,1084.76,1425,28.8877,-98.3298
X,0,1186,1081.42,1426,28.8877,-98.3198
X,0,1187,1084.44,1427,28.8877,-98.3098
X,0,1217,946.56,1460,28.8777,-98.5898
X,0,1218,1009.52,1462,28.8777,-98.5698
X,0,1221,946.56,1465,28.8777,-98.5398
X,0,1222,979.3,1466,28.8777,-98.5298
X,0,1223,1009.52,1468,28.8777,-98.5098
X,0,1224,993.26,1469,28.8777,-98.4998
X,0,1225,1125.68,1470,28.8777,-98.4798
X,0,1272,980.56,1522,28.8677,-98.5798
X,0,1273,953.42,1524,28.8677,-98.5598
X,0,1274,953.42,1525,28.8677,-98.5498
X,0,1278,1040.82,1531,28.8677,-98.4898
X,0,1279,1030.52,1532,28.8677,-98.4798
X,0,1280,1038.22,1533,28.8677,-98.4698
X,0,1281,1006.16,1534,28.8677,-98.4598
X,0,1282,1056.96,1535,28.8677,-98.4498
X,0,1283,1056.96,1536,28.8677,-98.4398
X,0,1283,0,1536,28.8677,-98.4398
X,0,1284,1004.48,1537,28.8677,-98.4298
X,0,1285,1056.96,1538,28.8677,-98.4198
X,0,1286,1006.16,1539,28.8677,-98.4098
X,0,1288,1027.32,1541,28.8677,-98.3898
X,0,1289,1041.58,1542,28.8677,-98.3698
X,0,1290,1127.44,1543,28.8677,-98.3598
X,0,1291,0,1544,28.8677,-98.3498
X,0,1291,1067.32,1544,28.8677,-98.3498
X,0,1292,0,1545,28.8677,-98.3398
X,0,1292,0,1545,28.8677,-98.3398
X,0,1292,1158.34,1545,28.8677,-98.3398
X,0,1293,0,1546,28.8677,-98.3298
X,0,1293,0,1546,28.8677,-98.3298
X,0,1293,1046.76,1546,28.8677,-98.3298
X,0,1294,1128.68,1547,28.8677,-98.3198
X,0,1295,1128.68,1548,28.8677,-98.3098
X,0,1296,1127.12,1549,28.8677,-98.2998
X,0,1297,1127.12,1550,28.8677,-98.2898
X,0,1300,0,1553,28.8677,-98.2598
X,0,1300,1064.84,1553,28.8677,-98.2598
X,0,1341,995.42,1599,28.8577,-98.4298
X,0,1342,1038.2,1600,28.8577,-98.4198
X,0,1343,1056.96,1601,28.8577,-98.4098
X,0,1346,1027.28,1604,28.8577,-98.3798
X,0,1347,1127.5,1606,28.8577,-98.3598
X,0,1348,0,1607,28.8577,-98.3498
X,0,1348,0,1607,28.8577,-98.3498
X,0,1348,1127.5,1607,28.8577,-98.3498
X,0,1349,0,1608,28.8577,-98.3398
X,0,1349,1127.5,1608,28.8577,-98.3398
X,0,1349,0,1608,28.8577,-98.3398
X,0,1350,0,1609,28.8577,-98.3298
X,0,1350,1079.66,1609,28.8577,-98.3298
X,0,1350,0,1609,28.8577,-98.3298
X,0,1351,1019.48,1610,28.8577,-98.3198
X,0,1351,0,1610,28.8577,-98.3198
X,0,1352,1039.02,1611,28.8577,-98.3098
X,0,1353,1039.02,1612,28.8577,-98.2998
X,0,1354,1111.54,1613,28.8577,-98.2898
X,0,1355,1039.02,1614,28.8577,-98.2798
X,0,1356,1139.8,1615,28.8577,-98.2698
X,0,1357,1197.54,1616,28.8577,-98.2598
X,0,1358,1250.38,1617,28.8577,-98.2498
X,0,1359,1109.06,1618,28.8577,-98.2398
X,0,1360,1152.72,1619,28.8577,-98.2298
X,0,1361,1122.66,1620,28.8577,-98.2198
X,0,1362,0,1621,28.8577,-98.2098
X,0,1362,0,1621,28.8577,-98.2098
X,0,1362,1109.06,1621,28.8577,-98.2098
X,0,1363,1071.88,1623,28.8577,-98.1898
X,0,1364,1071.88,1624,28.8577,-98.1798
X,0,1365,647.4,1625,28.8577,-98.1698
X,0,1411,1066.42,1676,28.8477,-98.2998
X,0,1412,1039.02,1677,28.8477,-98.2898
X,0,1417,1152.72,1682,28.8477,-98.2398
X,0,1419,0,1684,28.8477,-98.2198
X,0,1419,0,1684,28.8477,-98.2198
X,0,1419,1152.72,1684,28.8477,-98.2198
X,0,1420,0,1685,28.8477,-98.2098
X,0,1420,0,1685,28.8477,-98.2098
X,0,1420,1141,1685,28.8477,-98.2098
X,0,1421,0,1686,28.8477,-98.1998
X,0,1422,1109.06,1687,28.8477,-98.1898
X,0,1425,743.22,1690,28.8477,-98.1598
X,0,1572,953.36,1848,28.8177,-98.5498
X,0,1573,1001.62,1849,28.8177,-98.5398
X,0,1577,1121.16,1853,28.8177,-98.4998
X,0,1637,1001.6,1918,28.8077,-98.5298
X,0,1638,1008.52,1919,28.8077,-98.5198
X,0,1639,953.36,1920,28.8077,-98.5098
X,0,1640,1067.82,1921,28.8077,-98.4998
X,0,1641,1121.16,1922,28.8077,-98.4898
X,0,1642,1056.82,1923,28.8077,-98.4798
X,0,1643,1051.2,1924,28.8077,-98.4698
X,0,1644,1019.44,1925,28.8077,-98.4598
X,0,1646,1070.52,1927,28.8077,-98.4398
X,0,1647,1027.28,1928,28.8077,-98.4298
X,0,1648,1027.28,1929,28.8077,-98.4198
X,0,1649,1056.14,1930,28.8077,-98.4098
X,0,1676,1152.62,1958,28.8077,-98.1298
X,0,1703,0,1987,28.7977,-98.5298
X,0,1703,0,1987,28.7977,-98.5298
X,0,1703,953.36,1987,28.7977,-98.5298
X,0,1704,1008.52,1988,28.7977,-98.5198
X,0,1704,0,1988,28.7977,-98.5198
X,0,1706,1052.06,1991,28.7977,-98.4898
X,0,1707,1121.12,1992,28.7977,-98.4798
X,0,1708,1019.44,1993,28.7977,-98.4698
X,0,1711,1056.1,1996,28.7977,-98.4398
X,0,1712,1077.52,1997,28.7977,-98.4298
X,0,1715,965.74,2000,28.7977,-98.3998
X,0,1717,1004.54,2002,28.7977,-98.3798
X,0,1718,1127.38,2004,28.7977,-98.3598
X,0,1719,1127.38,2005,28.7977,-98.3498
X,0,1771,953.36,2057,28.7877,-98.5298
X,0,1773,0,2059,28.7877,-98.5098
X,0,1773,1008.5,2059,28.7877,-98.5098
X,0,1777,1027.2,2065,28.7877,-98.4498
X,0,1781,1038.18,2069,28.7877,-98.4098
X,0,1782,1121.1,2070,28.7877,-98.3998
X,0,1784,995.28,2072,28.7877,-98.3798
X,0,1786,1127.32,2074,28.7877,-98.3598
X,0,1786,0,2074,28.7877,-98.3598
X,0,1787,1127.32,2075,28.7877,-98.3498
X,0,1788,0,2076,28.7877,-98.3398
X,0,1836,1066.7,2128,28.7777,-98.5198
X,0,1837,1066.7,2129,28.7777,-98.5098
X,0,1840,1068.12,2132,28.7777,-98.4798
X,0,1841,965.72,2133,28.7777,-98.4698
X,0,1842,1056.78,2134,28.7777,-98.4598
X,0,1843,1056.78,2135,28.7777,-98.4498
X,0,1844,0,2136,28.7777,-98.4398
X,0,1844,1056.78,2136,28.7777,-98.4398
X,0,1844,0,2136,28.7777,-98.4398
X,0,1845,1056.78,2137,28.7777,-98.4298
X,0,1847,1121.16,2140,28.7777,-98.3998
X,0,1848,1045.8,2141,28.7777,-98.3898
X,0,1849,1045.8,2142,28.7777,-98.3798
X,0,1850,1127.34,2143,28.7777,-98.3698
X,0,1852,1127.22,2145,28.7777,-98.3498
X,0,1855,1114.6,2148,28.7777,-98.3198
X,0,1856,1140.24,2149,28.7777,-98.3098
X,0,1857,1149.58,2150,28.7777,-98.2998
X,0,1858,1123.18,2151,28.7777,-98.2898
X,0,1906,1121.12,2200,28.7677,-98.4898
X,0,1908,1121.12,2202,28.7677,-98.4698
X,0,1909,1121.12,2203,28.7677,-98.4598
