index,parcels,yield,county
414,565,10.7702,ATASCOSA
415,566,10.3116,ATASCOSA
416,567,10.3506,ATASCOSA
417,568,9.7442,ATASCOSA
418,569,10.9794,ATASCOSA
419,570,10.7702,ATASCOSA
420,571,10.9794,ATASCOSA
421,572,10.7702,ATASCOSA
422,573,10.3116,ATASCOSA
423,574,10.3116,ATASCOSA
424,575,10.6954,ATASCOSA
425,576,10.8774,ATASCOSA
426,579,10.9878,ATASCOSA
427,580,10.6934,ATASCOSA
428,581,1.745,ATASCOSA
429,582,1.9174,ATASCOSA
430,583,1.9174,ATASCOSA
431,584,1.9744,ATASCOSA
432,585,1.8758,ATASCOSA
433,587,2.0544,ATASCOSA
434,588,1.9186,ATASCOSA
435,589,2.0544,ATASCOSA
436,590,2.0546,ATASCOSA
437,592,10.5168,ATASCOSA
438,593,10.457,ATASCOSA
439,594,10.5174,ATASCOSA
440,595,10.0324,ATASCOSA
441,596,10.6056,ATASCOSA
442,597,10.228,ATASCOSA
443,598,10.5726,ATASCOSA
444,599,10.3058,ATASCOSA
445,600,10.3058,ATASCOSA
446,601,10.7394,ATASCOSA
447,602,10.7394,ATASCOSA
448,603,10.7044,ATASCOSA
449,606,10.297,ATASCOSA
450,607,10.9588,ATASCOSA
451,608,10.297,ATASCOSA
452,609,10.7044,ATASCOSA
453,610,10.7704,ATASCOSA
454,611,10.3112,ATASCOSA
455,612,10.7704,ATASCOSA
456,613,10.3112,ATASCOSA
457,614,10.9792,ATASCOSA
458,616,10.6954,ATASCOSA
459,617,10.6954,ATASCOSA
460,618,10.558,ATASCOSA
461,619,10.3112,ATASCOSA
462,620,10.6626,ATASCOSA
463,621,10.8788,ATASCOSA
464,622,11.518,ATASCOSA
465,623,9.974,ATASCOSA
466,624,10.6506,ATASCOSA
467,625,10.6934,ATASCOSA
468,626,10.6934,ATASCOSA
469,627,1.9744,ATASCOSA
470,628,1.9744,ATASCOSA
471,629,1.6412,ATASCOSA
472,630,1.9744,ATASCOSA
473,631,1.6412,ATASCOSA
474,632,1.7966,ATASCOSA
475,633,2.165,ATASCOSA
