VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
X,1133,45,,1063.6400,
X,1134,36,,1083.3000,
X,1135,31,,1078.1400,
X,1136,3,,991.9200,
X,1138,52,,1087.5000,
X,1138,58,,0.0000,
X,1139,3,,1041.2000,
X,1140,52,,1059.0200,
X,1141,45,,1111.8800,
X,1141,52,,0.0000,
X,1142,52,,1170.5400,
X,1143,52,,1081.9600,
X,1144,3,,1065.2000,
X,1184,45,,1080.1600,
X,1185,36,,1084.7600,
X,1186,36,,1081.4200,
X,1187,11,,1084.4400,
X,1217,3,,946.5600,
X,1218,11,,1009.5200,
X,1221,31,,946.5600,
X,1222,36,,979.3000,
X,1223,36,,1009.5200,
X,1224,31,,993.2600,
X,1225,36,,1125.6800,
X,1272,36,,980.5600,
X,1273,36,,953.4200,
X,1274,36,,953.4200,
X,1278,3,,1040.8200,
X,1279,3,,1030.5200,
X,1280,52,,1038.2200,
X,1281,52,,1006.1600,
X,1282,52,,1056.9600,
X,1283,3,,1056.9600,
X,1283,56,,0.0000,
X,1284,3,,1004.4800,
X,1285,3,,1056.9600,
X,1286,11,,1006.1600,
X,1288,31,,1027.3200,
X,1289,31,,1041.5800,
X,1290,36,,1127.4400,
X,1291,44,,0.0000,
X,1291,45,,1067.3200,
X,1292,43,,0.0000,
X,1292,44,,0.0000,
X,1292,45,,1158.3400,
X,1293,43,,0.0000,
X,1293,44,,0.0000,
X,1293,45,,1046.7600,
X,1294,36,,1128.6800,
X,1295,36,,1128.6800,
X,1296,31,,1127.1200,
X,1297,31,,1127.1200,
X,1300,44,,0.0000,
X,1300,45,,1064.8400,
X,1341,45,,995.4200,
X,1342,31,,1038.2000,
X,1343,31,,1056.9600,
X,1346,3,,1027.2800,
X,1347,52,,1127.5000,
X,1348,43,,0.0000,
X,1348,44,,0.0000,
X,1348,45,,1127.5000,
X,1349,44,,0.0000,
X,1349,45,,1127.5000,
X,1349,50,,0.0000,
X,1350,44,,0.0000,
X,1350,45,,1079.6600,
X,1350,52,,0.0000,
X,1351,45,,1019.4800,
X,1351,46,,0.0000,
X,1352,52,,1039.0200,
X,1353,52,,1039.0200,
X,1354,52,,1111.5400,
X,1355,3,,1039.0200,
X,1356,3,,1139.8000,
X,1357,31,,1197.5400,
X,1358,36,,1250.3800,
X,1359,31,,1109.0600,
X,1360,36,,1152.7200,
X,1361,36,,1122.6600,
X,1362,36,,0.0000,
