VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,1296,31,1127.12,-98.2998,28.8677
X,1342,31,1038.2,-98.4198,28.8577
X,1346,3,1027.28,-98.3798,28.8577
X,1347,52,1127.5,-98.3598,28.8577
X,1348,52,1127.5,-98.3498,28.8577
X,1350,52,1079.66,-98.3298,28.8577
X,1351,52,1019.48,-98.3198,28.8577
X,1352,52,1039.02,-98.3098,28.8577
X,1353,52,1039.02,-98.2998,28.8577
X,1354,52,1111.54,-98.2898,28.8577
X,1355,3,1039.02,-98.2798,28.8577
X,1356,3,1139.8,-98.2698,28.8577
X,1357,31,1197.54,-98.2598,28.8577
X,1358,31,1250.38,-98.2498,28.8577
X,1359,31,1109.06,-98.2398,28.8577
X,1360,36,1152.72,-98.2298,28.8577
X,1361,36,1122.66,-98.2198,28.8577
X,1362,36,1109.06,-98.2098,28.8577
X,1363,36,1071.88,-98.1898,28.8577
X,1364,31,1071.88,-98.1798,28.8577
X,1365,31,647.4,-98.1698,28.8577
X,1412,36,1039.02,-98.2898,28.8477
X,1417,3,1152.72,-98.2398,28.8477
X,1418,52,921.2,-98.2298,28.8477
X,1419,52,1152.72,-98.2198,28.8477
X,1420,52,1141,-98.2098,28.8477
X,1422,52,1109.06,-98.1898,28.8477
X,1425,3,743.22,-98.1598,28.8477
X,1572,36,953.36,-98.5498,28.8177
X,1573,31,1001.62,-98.5398,28.8177
X,1577,3,1121.16,-98.4998,28.8177
X,1637,3,1001.6,-98.5298,28.8077
X,1639,31,953.36,-98.5098,28.8077
X,1640,31,1067.82,-98.4998,28.8077
X,1641,36,1121.16,-98.4898,28.8077
X,1642,36,1056.82,-98.4798,28.8077
X,1643,31,1051.2,-98.4698,28.8077
X,1644,31,1019.44,-98.4598,28.8077
X,1647,3,1027.28,-98.4298,28.8077
X,1676,31,1152.62,-98.1298,28.8077
X,1703,36,953.36,-98.5298,28.7977
X,1704,52,1008.52,-98.5198,28.7977
X,1706,3,1052.06,-98.4898,28.7977
X,1707,3,1121.12,-98.4798,28.7977
X,1711,31,1056.1,-98.4398,28.7977
X,1712,31,1077.52,-98.4298,28.7977
X,1717,3,1004.54,-98.3798,28.7977
X,1771,36,953.36,-98.5298,28.7877
X,1777,3,1027.2,-98.4498,28.7877
X,1781,31,1038.18,-98.4098,28.7877
X,1786,3,1127.32,-98.3598,28.7877
X,1787,52,1127.32,-98.3498,28.7877
X,1842,36,1056.78,-98.4598,28.7777
X,1843,36,1056.78,-98.4498,28.7777
X,1844,52,1056.78,-98.4398,28.7777
X,1845,52,1056.78,-98.4298,28.7777
X,1847,3,1121.16,-98.3998,28.7777
X,1848,3,1045.8,-98.3898,28.7777
X,1850,31,1127.34,-98.3698,28.7777
X,1852,31,1127.22,-98.3498,28.7777
X,1853,31,1067.26,-98.3398,28.7777
X,1855,3,1114.6,-98.3198,28.7777
X,1856,3,1140.24,-98.3098,28.7777
X,1857,52,1149.58,-98.2998,28.7777
X,1858,36,1123.18,-98.2898,28.7777
X,1908,31,1121.12,-98.4698,28.7677
X,1910,31,962.2,-98.4498,28.7677
X,1911,36,1056.06,-98.4398,28.7677
X,1912,36,962.2,-98.4298,28.7677
X,1913,36,1056.8,-98.4198,28.7677
X,1915,52,1121.12,-98.3898,28.7677
X,1917,3,1069.24,-98.3698,28.7677
X,1921,31,1129.78,-98.3298,28.7677
X,1925,3,1139.66,-98.2798,28.7677
X,1926,3,1126.84,-98.2698,28.7677
X,1928,3,805.58,-98.2498,28.7677
X,1989,31,1139.66,-98.2898,28.7577
X,1990,31,1039,-98.2798,28.7577
X,1991,31,1197.34,-98.2698,28.7577
X,1993,3,1122.02,-98.2498,28.7577
X,1996,3,1250.16,-98.2198,28.7577
X,1997,52,1250.16,-98.2098,28.7577
X,1998,36,1108.94,-98.1998,28.7577
X,2050,36,1068.74,-98.3298,28.7477
X,2051,31,1168.24,-98.3198,28.7477
X,2052,31,1098.8,-98.2998,28.7477
X,2053,36,1088.58,-98.2898,28.7477
X,2054,52,1165.78,-98.2798,28.7477
X,2055,52,1111.6,-98.2698,28.7477
X,2060,31,1187.42,-98.2198,28.7477
X,2064,3,1162.94,-98.1798,28.7477
X,2065,52,1162.94,-98.1698,28.7477
X,2066,52,1259.5,-98.1598,28.7477
X,2208,36,960.46,-98.4398,28.7177
X,2209,52,1099.02,-98.4298,28.7177
X,2210,31,960.46,-98.4198,28.7177
X,2211,31,960.46,-98.4098,28.7177
X,2212,36,960.46,-98.3998,28.7177
X,2214,36,1036.3,-98.3798,28.7177
X,2215,31,1106.12,-98.3698,28.7177
X,2218,36,1112.92,-98.3298,28.7177
X,2278,36,874.4,-98.2798,28.7077
X,2280,52,1034.62,-98.2598,28.7077
X,2281,52,1134.42,-98.2498,28.7077
X,2282,31,1259.4,-98.2398,28.7077
X,2283,52,934.32,-98.2298,28.7077
X,2284,31,1131.72,-98.2198,28.7077
X,2286,3,870,-98.7998,28.6977
X,2287,31,870,-98.7898,28.6977
X,2348,31,875.6,-98.7098,28.6877
X,2349,52,875.6,-98.6998,28.6877
X,2350,52,875.6,-98.6898,28.6877
X,2351,52,901.42,-98.6798,28.6877
X,2352,31,978.24,-98.6698,28.6877
X,2425,3,1051.18,-98.4598,28.6777
X,2426,36,1098.94,-98.4498,28.6777
X,2493,3,1068.58,-98.2798,28.6677
X,2494,31,874.36,-98.2698,28.6677
X,2496,3,878.88,-98.7898,28.6577
X,2497,36,878.88,-98.7798,28.6577
X,2498,31,878.88,-98.7698,28.6577
X,2499,31,1030.54,-98.7398,28.6577
X,2502,3,901.48,-98.7098,28.6577
X,2503,36,974.28,-98.6998,28.6577
X,2504,36,901.48,-98.6898,28.6577
X,2505,31,964.52,-98.6698,28.6577
X,2558,36,1200.86,-98.1501,29.3974
X,2559,31,772.12,-98.1401,29.3974
X,2560,31,1294.2,-98.1301,29.3974
X,2561,36,1133.56,-98.1701,29.3874
X,2562,52,1106.38,-98.1601,29.3874
X,2563,31,1133.56,-98.1501,29.3874
X,2565,52,1178.4,-98.1801,29.3774
X,2566,36,1178.76,-98.1601,29.3774
X,2567,31,1133.6,-98.1501,29.3774
X,2570,3,1223.36,-98.0801,29.3774
X,2571,3,1203.4,-98.0701,29.3774
X,2572,36,1167.28,-98.0601,29.3774
X,2573,36,1222.22,-98.0501,29.3774
X,2574,31,1222.22,-98.0401,29.3774
X,2629,3,1291.78,-98.2001,29.3374
X,2630,52,1249.56,-98.1901,29.3374
X,2631,31,1181.08,-98.1801,29.3374
X,2632,52,1181.08,-98.1701,29.3374
X,2633,31,1100.68,-98.1601,29.3374
X,2634,3,1298.9,-98.1101,29.3374
X,2635,3,1209.88,-98.0901,29.3374
X,2636,36,1184.08,-98.0701,29.3374
X,2637,31,1308.04,-98.0101,29.3374
X,2639,3,1404.26,-97.9401,29.3374
X,2640,3,1404.26,-97.9301,29.3374
X,2641,3,1247.84,-97.8901,29.3374
X,2642,36,1290.04,-97.8801,29.3374
X,2697,36,1382.62,-98.1801,29.3074
X,2698,36,1298.88,-98.1701,29.3074
X,2699,36,1298.88,-98.1501,29.3074
X,2700,52,1298.88,-98.1301,29.3074
X,2701,36,1298.88,-98.1101,29.3074
X,2702,3,1298.88,-98.0901,29.3074
X,2703,31,1209.76,-98.0801,29.3074
X,2704,52,1155.3,-98.0701,29.3074
X,2705,36,1299.64,-98.0601,29.3074
X,2706,31,1308.02,-98.0501,29.3074
X,2707,31,1308.02,-98.0401,29.3074
X,2708,3,1308.02,-98.0301,29.3074
X,2709,3,1308.02,-98.0201,29.3074
X,2710,3,1308.02,-98.0101,29.3074
X,2711,36,1368.54,-97.9801,29.3074
X,2712,36,1363.74,-97.9501,29.3074
X,2713,31,1258.08,-97.9401,29.3074
X,2714,3,1215.22,-97.9301,29.3074
X,2715,36,1247.78,-97.9201,29.3074
X,2716,36,1290.04,-97.9001,29.3074
X,2767,52,1199.66,-98.0001,29.2874
X,2768,31,1308,-97.9901,29.2874
X,2769,36,1349.08,-97.9801,29.2874
X,2770,36,1207.86,-97.9601,29.2874
