var, orig, dest, value,
3,2728,36,1016.40,
3,2733,36,1070.60,
3,2734,36,987.60,
3,2735,36,987.60,
3,2736,36,987.60,
3,2737,36,1038.90,
3,2808,7,1159.20,
3,2812,7,1050.80,
3,2813,7,1048.80,
3,2814,36,1028.20,
3,2815,7,1044.20,
3,2875,7,1084.10,
3,2884,45,1316.10,
3,2887,7,1039.90,
3,2890,45,1070.70,
3,2891,45,1050.80,
3,2892,45,1050.80,
3,2893,45,1031.70,
3,2897,7,1465.60,
3,2947,45,1050.80,
3,2948,45,1144.40,
3,2949,45,1070.60,
3,2950,45,1050.80,
3,2951,36,1458.80,
3,2952,7,1050.80,
3,2964,7,1008.80,
3,2966,45,1050.80,
3,2967,36,1050.80,
3,2968,36,1060.10,
3,2969,36,1050.80,
3,2970,36,1050.80,
3,2972,36,1458.80,
3,2976,36,1076.90,
3,3028,36,1060.10,
3,3029,36,1039.90,
3,3030,45,1073.10,
3,3031,45,1044.50,
3,3032,36,1070.60,
3,3036,7,1458.80,
3,3045,45,1051.40,
3,3047,36,1117.00,
3,3049,7,1341.40,
3,3050,45,1341.40,
3,3051,7,1248.70,
3,3052,7,1248.70,
3,3053,7,1248.70,
3,3054,7,1329.80,
3,3055,7,1322.50,
3,3056,7,1290.90,
3,3057,7,1040.20,
3,3058,7,1316.10,
3,3059,7,1329.80,
3,3109,7,1316.10,
3,3110,7,1050.80,
3,3112,45,1290.90,
3,3113,7,1290.90,
3,3114,7,1401.00,
3,3115,45,1316.10,
3,3116,36,1248.70,
3,3118,36,1401.00,
3,3119,45,1180.70,
3,3120,7,1050.80,
3,3125,45,999.80,
3,3126,36,1035.00,
3,3127,7,1060.00,
3,3128,7,999.80,
3,3129,45,1011.30,
3,3130,45,1077.60,
3,3131,36,1039.90,
3,3132,36,1050.80,
3,3133,36,1040.40,
3,3134,36,1070.60,
3,3135,45,1070.60,
3,3136,36,1039.90,
3,3137,45,1088.10,
3,3138,45,1083.40,
3,3139,45,1075.30,
3,3189,45,1040.40,
3,3190,45,1050.80,
3,3191,45,1050.80,
3,3192,45,1060.00,
3,3193,45,1060.00,
3,3194,45,1133.60,
3,3196,36,1153.60,
3,3207,7,1070.60,
3,3208,45,973.20,
3,3209,36,999.80,
3,3210,36,973.20,
3,3211,36,1076.90,
3,3212,7,999.80,
3,3213,7,1070.60,
3,3214,7,1050.80,
3,3215,7,999.80,
3,3217,7,1180.60,
3,3219,36,1063.90,
3,3220,36,1063.90,
3,3272,7,1153.20,
3,3278,45,1465.60,
3,3287,45,1144.40,
3,3288,36,1133.60,
3,3289,7,1465.60,
3,3290,7,1059.90,
3,3291,7,1008.70,
3,3292,7,1144.40,
3,3293,45,1050.80,
3,3294,45,1073.10,
3,3295,45,1050.80,
3,3296,45,1070.60,
3,3297,7,1070.60,
3,3298,7,1050.80,
3,3299,7,1040.40,
3,3300,7,1465.60,
3,3301,7,1050.80,
3,3352,36,1458.80,
3,3369,45,1070.60,
3,3370,36,1011.30,
3,3371,45,1059.90,
3,3372,36,1326.90,
3,3375,36,1059.90,
3,3376,36,1070.60,
3,3377,36,991.90,
3,3378,36,986.70,
3,3379,36,986.70,
3,3380,36,1080.00,
3,3381,36,1055.00,
3,3417,36,1077.00,
3,3419,7,1059.90,
3,3420,45,1031.70,
3,3421,36,1031.70,
3,3430,36,986.70,
3,3431,36,1146.10,
3,3432,36,986.70,
3,3433,36,1125.40,
3,3434,36,1037.90,
3,3435,36,1037.90,
3,3436,36,973.20,
3,3439,7,1077.50,
3,3511,7,1180.60,
3,3512,7,1050.80,
3,3513,7,1077.00,
3,3514,7,1011.30,
3,3515,7,1059.90,
3,3516,7,1059.90,
3,3517,7,1059.90,
3,3518,45,1021.90,
3,3519,36,1021.90,
3,3532,45,1037.90,
3,3533,45,999.80,
3,3534,36,1180.60,
3,3535,45,1036.50,
3,3536,45,973.10,
3,3537,45,999.80,
3,3541,45,991.80,
3,3591,45,1077.50,
3,3592,45,1011.20,
3,3593,45,1059.90,
3,3594,45,1037.90,
3,3595,45,1011.20,
3,3596,45,1032.40,
3,3597,36,1061.00,
3,3598,36,1032.40,
3,3611,36,1035.10,
3,3615,7,1063.70,
3,3616,7,1070.60,
3,3618,36,1070.60,
3,3619,36,1180.60,
3,3621,36,1037.90,
3,3622,36,1122.00,
3,3672,36,1465.60,
3,3673,36,1077.50,
3,3674,36,1070.60,
3,3675,36,1070.60,
3,3676,36,1008.70,
3,3678,7,1077.80,
3,3679,7,1070.60,
3,3680,7,1059.90,
3,3681,36,1070.60,
3,3683,45,1465.60,
3,3694,7,1465.60,
3,3695,45,1077.50,
3,3696,7,1061.70,
3,3697,45,1096.90,
3,3698,7,1086.00,
3,3699,7,993.00,
3,3700,7,1037.90,
3,3701,7,1077.40,
3,3702,7,1070.60,
3,3703,7,1037.90,
3,3753,7,1086.00,
3,3754,7,993.00,
3,3755,7,1056.00,
3,3756,7,1070.60,
3,3757,7,1059.90,
3,3758,7,1077.40,
3,3759,45,1070.60,
3,3760,36,1059.90,
3,3761,36,1458.80,
3,3763,45,1077.40,
3,3772,45,1326.90,
3,3773,45,1035.00,
3,3774,45,1081.20,
3,3775,36,1142.70,
3,3776,36,1092.30,
3,3777,36,1113.70,
3,3778,36,1077.40,
3,3779,36,1077.80,
3,3780,45,1059.90,
3,3781,45,1070.60,
3,3782,45,1070.60,
3,3783,45,1262.10,
3,3833,45,993.00,
3,3834,45,993.00,
3,3835,45,1133.50,
3,3836,45,1059.90,
3,3837,45,1088.40,
3,3838,45,1060.30,
3,3839,36,1070.60,
3,3840,36,1070.60,
3,3842,7,1059.90,
3,3843,45,974.20,
3,3851,45,1059.90,
3,3857,7,1032.30,
3,3858,7,993.00,
3,3863,36,1077.30,
3,3914,7,1262.10,
3,3915,7,1232.00,
3,3916,7,1350.90,
3,3918,7,1401.20,
3,3922,45,992.10,
3,3931,45,1180.60,
3,3933,7,1180.60,
3,3934,7,1180.60,
3,3935,45,1088.40,
3,3936,45,992.00,
3,3937,36,1153.30,
3,3938,45,992.00,
3,3939,45,1180.60,
3,3940,45,1180.60,
3,3941,45,1180.60,
3,3942,45,1180.60,
3,3944,7,1180.60,
3,3947,36,1465.50,
3,3981,7,1180.50,
3,3982,36,1088.40,
3,3984,7,1153.30,
3,3985,7,1180.50,
3,3986,36,1180.50,
3,3987,36,1061.00,
3,3988,36,1180.50,
3,3994,7,1324.80,
3,3995,7,1326.90,
3,3996,7,1458.80,
3,3997,7,1326.90,
3,4000,45,1262.00,
3,4001,45,1262.00,
3,4004,7,1262.00,
3,4024,45,1180.50,
3,4064,45,1465.60,
3,4069,7,1180.50,
3,4074,36,1180.50,
3,4075,36,1465.60,
3,4076,36,1180.50,
3,4077,36,1180.50,
3,4078,36,1180.50,
3,4079,36,1180.50,
3,4080,36,1180.50,
3,4081,36,1060.20,
3,4083,7,992.00,
3,4084,36,1180.50,
3,4085,36,1458.80,
3,4086,45,1180.50,
3,4087,45,1180.50,
3,4089,36,1061.00,
3,4105,36,1290.90,
3,4107,36,1458.80,
3,4109,45,1290.90,
3,4147,45,1326.90,
3,4148,36,1275.00,
3,4149,36,1232.00,
3,4155,36,1232.00,
3,4156,7,1401.20,
3,4157,36,1320.40,
3,4158,36,1253.80,
3,4159,7,1253.80,
3,4160,7,1329.30,
3,4161,45,1401.20,
3,4162,7,1264.60,
3,4163,45,1262.10,
3,4164,36,1326.90,
3,4165,7,1262.00,
3,4166,36,1350.80,
3,4180,45,1180.50,
3,4182,45,1180.50,
3,4186,7,1180.50,
3,4238,7,1073.10,
3,4239,45,1180.50,
3,4240,7,1180.50,
3,4241,7,1180.50,
3,4242,45,1180.50,
3,4243,45,1073.10,
3,4244,36,1070.70,
3,4246,7,1038.10,
3,4249,7,1060.90,
3,4261,45,1326.80,
3,4262,45,1326.80,
3,4263,45,1326.80,
3,4264,45,1264.60,
3,4265,45,1326.80,
3,4266,45,1262.00,
