VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,1639,31,,953.36
X,1640,31,,1067.82
X,1641,36,,1121.16
X,1642,36,,1056.82
X,1643,31,,1051.2
X,1644,31,,1019.44
X,1646,11,,1070.52
X,1647,3,,1027.28
X,1648,45,,1027.28
X,1649,36,,1056.14
X,1676,31,,1152.62
X,1703,36,,0
X,1703,44,,0
X,1703,45,,953.36
X,1704,52,,1008.52
X,1704,56,,0
X,1706,3,,1052.06
X,1707,3,,1121.12
X,1708,11,,1019.44
X,1711,31,,1056.1
X,1712,31,,1077.52
X,1715,11,,965.74
X,1717,3,,1004.54
X,1718,45,,1127.38
X,1719,36,,1127.38
X,1771,36,,953.36
X,1773,44,,0
X,1773,45,,1008.5
X,1777,3,,1027.2
X,1781,31,,1038.18
X,1782,31,,1121.1
X,1784,11,,995.28
X,1786,3,,1127.32
X,1786,56,,0
X,1787,52,,1127.32
X,1788,44,,0
X,1836,36,,1066.7
X,1837,31,,1066.7
X,1840,31,,1068.12
X,1841,36,,965.72
X,1842,36,,1056.78
X,1843,36,,1056.78
X,1844,44,,0
X,1844,45,,1056.78
X,1844,52,,0
X,1845,52,,1056.78
X,1847,3,,1121.16
X,1848,11,,1045.8
X,1849,11,,1045.8
X,1850,31,,1127.34
X,1852,31,,1127.22
X,1855,11,,1114.6
X,1856,3,,1140.24
X,1857,52,,1149.58
X,1858,36,,1123.18
X,1906,36,,1121.12
X,1908,31,,1121.12
X,1909,36,,1121.12
X,1910,31,,962.2
X,1911,36,,1056.06
X,1912,36,,962.2
X,1913,36,,1056.8
X,1914,45,,1040.82
X,1914,50,,0
X,1915,52,,1121.12
X,1917,3,,1069.24
X,1918,11,,1106.74
X,1921,31,,1129.78
X,1922,36,,1127.26
X,1923,11,,1127.26
X,1924,11,,1123.42
X,1925,3,,1139.66
X,1926,3,,1126.84
X,1926,56,,0
X,1927,43,,0
X,1927,44,,0
X,1927,45,,1197.38
X,1928,45,,1152.58
X,1989,31,,1139.66
X,1990,31,,1039
X,1991,31,,1197.34
X,1993,3,,1122.02
X,1996,3,,1250.16
X,1996,56,,0
X,1997,45,,1250.16
X,1997,52,,0
X,1998,36,,1108.94
X,2049,36,,1041.78
X,2050,36,,1068.74
X,2051,31,,1168.24
X,2052,31,,1098.8
X,2053,36,,1088.58
X,2054,44,,0
X,2054,45,,1165.78
X,2060,31,,1187.42
X,2061,31,,1162.94
X,2063,11,,1132.06
X,2064,3,,1162.94
X,2065,52,,1162.94
X,2066,44,,0
X,2066,45,,1259.5
X,2150,36,,960.48
X,2151,31,,1099.04
X,2208,36,,0
X,2208,45,,960.46
X,2209,31,,1099.02
X,2210,31,,960.46
X,2211,31,,960.46
X,2212,36,,960.46
X,2214,36,,1036.3
X,2215,31,,1106.12
X,2217,44,,0
X,2217,45,,1040.26
X,2218,36,,1112.92
X,2219,36,,1112.92
X,2278,36,,874.4
X,2280,52,,1034.62
X,2281,52,,1134.42
X,2282,31,,1259.4
X,2283,44,,0
X,2283,45,,934.32
X,2284,31,,1131.72
X,2285,11,,1162.88
X,2286,3,,0
X,2286,45,,870
X,2287,31,,870
X,2288,36,,887.96
X,2348,31,,875.6
X,2349,52,,875.6
X,2350,52,,875.6
X,2351,44,,0
X,2351,45,,901.42
X,2351,46,,0
X,2352,31,,978.24
X,2425,3,,0
X,2425,44,,0
X,2425,45,,1051.18
X,2426,36,,1098.94
X,2427,31,,1006.42
X,2432,36,,997.74
X,2488,44,,0
X,2488,45,,1168.06
X,2489,3,,1097.86
X,2491,44,,0
X,2491,45,,1118.54
X,2493,3,,1068.58
X,2493,43,,0
X,2493,44,,0
X,2494,31,,874.36
X,2496,3,,878.88
X,2497,36,,878.88
X,2498,31,,878.88
X,2499,31,,1030.54
X,2500,11,,1030.54
X,2501,11,,1030.54
X,2502,3,,901.48
X,2503,36,,974.28
X,2504,36,,901.48
X,2505,31,,964.52
X,2557,45,,1221.34
