VARIABLE,INDEX, DEPOT, VALUE,LON,LAT
X,1138,52,1199.34,-98.2698,28.8977
X,1139,52,1180.3,-98.2598,28.8977
X,1140,52,1215.82,-98.2498,28.8977
X,1141,52,1245,-98.2398,28.8977
X,1142,52,1301.62,-98.2298,28.8977
X,1143,52,1215.38,-98.2198,28.8977
X,1144,52,1218.68,-98.2098,28.8977
X,1184,44,1213.36,-98.3398,28.8877
X,1185,36,1197.6,-98.3298,28.8877
X,1186,36,1220.88,-98.3198,28.8877
X,1221,31,1097.06,-98.5398,28.8777
X,1222,36,1122.2,-98.5298,28.8777
X,1223,36,1130.88,-98.5098,28.8777
X,1224,31,1148.5,-98.4998,28.8777
X,1279,52,1174.66,-98.4798,28.8677
X,1280,52,1151.84,-98.4698,28.8677
X,1281,52,1143.66,-98.4598,28.8677
X,1282,52,1165.74,-98.4498,28.8677
X,1289,31,1191,-98.3698,28.8677
X,1290,36,1229.18,-98.3598,28.8677
X,1291,44,1186.92,-98.3498,28.8677
X,1292,44,1268.16,-98.3398,28.8677
X,1293,44,1170.62,-98.3298,28.8677
X,1294,31,1218.98,-98.3198,28.8677
X,1295,36,1218.98,-98.3098,28.8677
X,1296,31,1234.04,-98.2998,28.8677
X,1300,44,1182.42,-98.2598,28.8677
X,1342,31,1151.76,-98.4198,28.8577
X,1347,52,1229.18,-98.3598,28.8577
X,1348,44,1229.18,-98.3498,28.8577
X,1349,44,1229.18,-98.3398,28.8577
X,1350,44,1176.48,-98.3298,28.8577
X,1351,52,1169.42,-98.3198,28.8577
X,1352,52,1186.02,-98.3098,28.8577
X,1353,52,1186.02,-98.2998,28.8577
X,1354,52,1201.68,-98.2898,28.8577
X,1357,31,1297.72,-98.2598,28.8577
X,1358,31,1332.28,-98.2498,28.8577
X,1359,31,1243.72,-98.2398,28.8577
X,1360,36,1263.88,-98.2298,28.8577
X,1361,36,1243.06,-98.2198,28.8577
X,1362,44,1243.72,-98.2098,28.8577
X,1363,36,1233.34,-98.1898,28.8577
X,1364,31,1233.34,-98.1798,28.8577
X,1365,31,811.9,-98.1698,28.8577
X,1412,36,1185.92,-98.2898,28.8477
X,1418,52,1111.98,-98.2298,28.8477
X,1419,44,1263.92,-98.2198,28.8477
X,1420,44,1252.24,-98.2098,28.8477
X,1422,52,1243.72,-98.1898,28.8477
X,1423,52,811.88,-98.1798,28.8477
X,1572,36,1090.78,-98.5498,28.8177
X,1573,31,1129.06,-98.5398,28.8177
X,1639,31,1090.86,-98.5098,28.8077
X,1640,31,1164.94,-98.4998,28.8077
X,1641,36,1235.16,-98.4898,28.8077
X,1642,36,1165.72,-98.4798,28.8077
X,1643,31,1179.04,-98.4698,28.8077
X,1644,31,1136.8,-98.4598,28.8077
X,1703,44,1090.74,-98.5298,28.7977
X,1704,52,1118.32,-98.5198,28.7977
X,1711,31,1176.8,-98.4398,28.7977
X,1712,31,1203.84,-98.4298,28.7977
X,1771,36,1090.72,-98.5298,28.7877
X,1773,44,1118.28,-98.5098,28.7877
X,1787,52,1229.08,-98.3498,28.7877
X,1788,44,1229.08,-98.3398,28.7877
X,1842,36,1165.7,-98.4598,28.7777
X,1843,36,1165.7,-98.4498,28.7777
X,1844,44,1165.7,-98.4398,28.7777
X,1850,31,1229.06,-98.3698,28.7777
X,1852,31,1247.24,-98.3498,28.7777
X,1857,52,1248.16,-98.2998,28.7777
X,1858,36,1224.12,-98.2898,28.7777
X,1908,31,1235.12,-98.4698,28.7677
X,1910,31,1121.12,-98.4498,28.7677
X,1911,36,1176.76,-98.4398,28.7677
X,1912,36,1121.12,-98.4298,28.7677
X,1913,44,1165.66,-98.4198,28.7677
X,1914,44,1171.16,-98.4098,28.7677
X,1926,52,1234.04,-98.2698,28.7677
X,1927,44,1297.54,-98.2598,28.7677
X,1990,31,1185.84,-98.2798,28.7577
X,1991,31,1297.56,-98.2698,28.7577
X,1996,44,1332.26,-98.2198,28.7577
X,1997,52,1332.26,-98.2098,28.7577
X,1998,36,1243.6,-98.1998,28.7577
X,2052,31,1221.46,-98.2998,28.7477
X,2054,44,1274.68,-98.2798,28.7477
X,2064,52,1274.98,-98.1798,28.7477
X,2065,52,1274.98,-98.1698,28.7477
X,2066,52,1369.72,-98.1598,28.7477
X,2208,44,1130.44,-98.4398,28.7177
X,2209,52,1217.74,-98.4298,28.7177
X,2210,31,1130.44,-98.4198,28.7177
X,2211,31,1130.44,-98.4098,28.7177
X,2212,36,1130.44,-98.3998,28.7177
X,2214,36,1152.76,-98.3798,28.7177
X,2215,31,1210.68,-98.3698,28.7177
X,2218,36,1228.06,-98.3298,28.7177
X,2278,36,1064.94,-98.2798,28.7077
X,2280,52,1162.84,-98.2598,28.7077
X,2281,52,1282.36,-98.2498,28.7077
X,2282,31,1369.72,-98.2398,28.7077
X,2283,44,1138.86,-98.2298,28.7077
