VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,1139,3,1180.3,-98.2598,28.8977
X,1140,52,1215.82,-98.2498,28.8977
X,1141,45,1245,-98.2398,28.8977
X,1142,52,1301.62,-98.2298,28.8977
X,1143,52,1215.38,-98.2198,28.8977
X,1144,3,1218.68,-98.2098,28.8977
X,1184,45,1213.36,-98.3398,28.8877
X,1185,36,1197.6,-98.3298,28.8877
X,1186,36,1220.88,-98.3198,28.8877
X,1217,3,1097.06,-98.5898,28.8777
X,1218,11,1130.88,-98.5698,28.8777
X,1221,31,1097.06,-98.5398,28.8777
X,1222,36,1122.2,-98.5298,28.8777
X,1223,36,1130.88,-98.5098,28.8777
X,1224,31,1148.5,-98.4998,28.8777
X,1272,36,1117.68,-98.5798,28.8677
X,1273,36,1090.84,-98.5598,28.8677
X,1274,36,1090.84,-98.5498,28.8677
X,1278,3,1171.16,-98.4898,28.8677
X,1279,3,1174.66,-98.4798,28.8677
X,1280,52,1151.84,-98.4698,28.8677
X,1281,52,1143.66,-98.4598,28.8677
X,1282,52,1165.74,-98.4498,28.8677
X,1283,3,1165.74,-98.4398,28.8677
X,1284,3,1128.6,-98.4298,28.8677
X,1285,3,1165.74,-98.4198,28.8677
X,1286,11,1143.66,-98.4098,28.8677
X,1288,31,174.68,-98.3898,28.8677
X,1289,31,1191,-98.3698,28.8677
X,1290,36,1229.18,-98.3598,28.8677
X,1291,45,1186.92,-98.3498,28.8677
X,1292,45,1268.16,-98.3398,28.8677
X,1293,45,1170.62,-98.3298,28.8677
X,1294,36,1218.98,-98.3198,28.8677
X,1295,36,1218.98,-98.3098,28.8677
X,1296,31,1234.04,-98.2998,28.8677
X,1300,45,1182.42,-98.2598,28.8677
X,1342,31,1151.76,-98.4198,28.8577
X,1346,3,1148.46,-98.3798,28.8577
X,1347,52,1229.18,-98.3598,28.8577
X,1348,45,1229.18,-98.3498,28.8577
X,1349,45,1229.18,-98.3398,28.8577
X,1350,45,1176.48,-98.3298,28.8577
X,1351,45,1169.42,-98.3198,28.8577
