VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,1989,31,,1240.7
X,1990,31,,1185.84
X,1991,31,,1297.56
X,1993,3,,1263.6
X,1997,45,,1332.26
X,1998,36,,1243.6
X,2049,36,,1163.98
X,2050,36,,1180.86
X,2051,31,,1277.28
X,2052,31,,1221.46
X,2053,36,,1188.2
X,2054,45,,1274.68
X,2060,31,,1312.82
X,2063,11,,1253.58
X,2064,3,,1274.98
X,2065,52,,1274.98
X,2066,45,,1369.72
X,2150,36,,1130.6
X,2208,45,,1130.44
X,2209,31,,1217.74
X,2210,31,,1130.44
X,2211,31,,1130.44
X,2212,36,,1130.44
X,2214,36,,1152.76
X,2215,31,,1210.68
X,2217,45,,1174.7
X,2218,36,,1228.06
X,2219,36,,1228.06
X,2278,36,,1064.94
X,2279,3,,806.32
X,2280,52,,1162.84
X,2281,52,,1282.36
X,2282,31,,1369.72
X,2283,45,,1138.86
X,2284,31,,1253.5
X,2285,11,,1274.86
X,2286,45,,1049.26
X,2287,31,,1049.26
X,2288,36,,1065.66
X,2348,31,,1056.98
X,2349,52,,1056.98
X,2350,52,,1056.98
X,2351,45,,1087.04
X,2352,31,,1105.46
X,2425,45,,1168.04
X,2426,36,,1217.66
X,2427,31,,1132.54
X,2488,45,,1277.14
X,2491,45,,1225.84
X,2493,3,,1180.62
X,2494,31,,1064.92
X,2496,3,,1040.5
X,2497,36,,1040.5
X,2498,31,,1040.5
X,2499,31,,1171.56
X,2500,11,,1171.56
X,2501,11,,1171.56
X,2502,3,,1087
X,2503,36,,1107.22
X,2504,36,,1087
X,2505,31,,1112.82
X,2557,45,,1306.98
X,2558,36,,1311.16
X,2559,31,,930.32
X,2560,31,,1310.16
X,2561,36,,1293.18
X,2563,31,,1293.18
X,2564,11,,1397.6
X,2565,52,,1292.32
X,2566,36,,1298.74
X,2567,31,,1293.16
X,2570,3,,1291.14
X,2571,45,,1298.44
X,2572,36,,1297.36
X,2573,36,,1317.08
X,2574,31,,1317.08
X,2576,36,,1461.16
X,2629,3,,1305.1
X,2630,31,,1291.04
X,2631,31,,1260.16
X,2632,45,,1260.16
X,2633,31,,1260.54
X,2634,11,,1407.2
X,2635,3,,1297.98
X,2636,36,,1311.52
X,2637,31,,1421.52
X,2638,11,,1333.7
X,2639,3,,1458.28
X,2640,3,,1458.28
X,2641,3,,1294.62
X,2642,36,,1327.02
X,2697,36,,1442.64
X,2698,36,,1407.18
X,2699,45,,1407.18
X,2700,45,,1407.18
X,2701,36,,1407.18
X,2702,45,,1407.18
X,2703,31,,1298.06
X,2704,11,,1296.34
X,2705,45,,1299.24
X,2706,31,,1421.5
X,2707,31,,1421.5
X,2708,3,,1421.5
X,2709,3,,1421.5
X,2710,3,,1421.5
X,2711,36,,1457.08
X,2712,36,,1453.58
X,2713,31,,1333.66
X,2714,3,,1292.78
X,2715,36,,1294.58
X,2716,36,,1326.96
X,2767,36,,1296.44
X,2768,45,,1421.46
X,2769,45,,1473.36
X,2770,36,,1297.64
X,2771,52,,1453.56
X,2772,36,,1333.72
X,2774,52,,1333.72
X,2775,36,,1333.72
X,2776,31,,1333.72
X,2777,11,,1326.96
X,2778,3,,1289.88
X,2779,3,,1465.64
X,2780,45,,1465.64
X,2781,36,,1465.64
X,2782,36,,1465.64
X,2784,11,,1297.94
X,2785,36,,1302.88
X,2787,45,,1442.62
X,2837,45,,1260.54
X,2838,36,,1285.96
X,2839,36,,1210.46
X,2840,36,,1296.3
X,2841,52,,1407.22
X,2842,36,,1407.22
X,2844,3,,1418.38
X,2845,36,,1292
X,2846,31,,1467.88
X,2847,3,,1292.9
X,2848,52,,1333.74
X,2849,45,,1344.86
X,2850,36,,1333.74
X,2851,36,,855.82
X,2855,31,,1436.74
X,2908,31,,1442.62
X,2909,52,,1442.62
X,2910,31,,1442.62
