VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
X,1785,36,,1197.4000,
X,1786,31,,1201.7800,
X,1787,31,,1201.7800,
X,1845,31,,1114.7600,
X,1846,36,,1079.2800,
X,1847,44,,1181.9800,
X,1848,44,,1106.4000,
X,1849,52,,1106.4000,
X,1850,52,,1201.8600,
X,1852,44,,1222.9400,
X,1853,44,,1147.0400,
X,1854,44,,702.9000,
X,1855,36,,1184.9800,
X,1856,31,,1218.4000,
X,1857,31,,1229.8600,
X,1915,31,,1181.9800,
X,1916,36,,1106.3800,
X,1917,44,,1166.0400,
X,1918,44,,1198.1800,
X,1919,52,,1007.1600,
X,1921,52,,1227.2400,
X,1922,44,,1201.7800,
X,1923,44,,1201.7800,
X,1924,36,,1200.0600,
X,1925,31,,1225.7000,
X,1926,44,,1226.4000,
X,1927,31,,1280.8000,
X,1986,44,,1198.1200,
X,1987,52,,1226.9400,
X,1992,52,,1005.3600,
X,1993,44,,1229.3200,
X,1994,36,,1227.9400,
X,1995,36,,728.8800,
X,1996,31,,1337.6000,
X,1997,31,,1337.6000,
X,1998,31,,1227.9400,
X,2055,31,,1227.0800,
X,2056,36,,1112.1800,
X,2060,52,,1312.1000,
X,2061,44,,1296.4000,
X,2062,36,,1259.8800,
X,2063,36,,1260.7800,
X,2064,31,,1296.4000,
X,2065,31,,1296.4000,
X,2140,36,,627.8200,
X,2141,36,,627.8200,
X,2143,31,,666.3600,
X,2151,36,,1213.4400,
X,2208,44,,1062.9000,
X,2209,36,,1213.4200,
X,2210,36,,1062.9000,
X,2211,31,,1062.9000,
X,2212,44,,1062.9000,
X,2213,31,,1062.9000,
X,2214,52,,1147.4600,
X,2215,44,,1198.9200,
X,2216,36,,1186.8200,
X,2278,52,,990.4000,
X,2279,52,,677.5000,
X,2280,52,,1160.7800,
X,2281,52,,1255.9600,
X,2282,36,,1361.8000,
X,2283,52,,1074.1200,
X,2284,44,,1260.7000,
X,2285,31,,1296.2800,
X,2288,44,,1008.5000,
X,2290,36,,1098.4000,
X,2348,44,,972.0200,
X,2349,44,,972.0200,
X,2350,44,,972.0200,
X,2351,44,,1009.4800,
X,2352,31,,1098.2400,
X,2418,52,,682.1400,
X,2419,36,,666.2800,
X,2420,36,,666.2800,
X,2421,44,,697.5800,
X,2425,31,,1172.4800,
X,2427,36,,1126.1800,
X,2428,31,,1118.3800,
X,2429,36,,1118.3800,
X,2487,36,,1221.1600,
X,2488,44,,1283.9200,
X,2489,36,,1221.1600,
X,2491,44,,1245.0000,
X,2493,52,,1191.1200,
X,2494,36,,990.3400,
X,2495,31,,999.1800,
X,2497,52,,999.1800,
X,2498,44,,999.1800,
X,2499,36,,1152.6400,
X,2500,36,,1152.6400,
X,2501,36,,1152.6400,
X,2505,36,,1097.1200,
X,2557,36,,1229.4200,
X,2558,36,,1210.2800,
X,2561,36,,1174.7400,
X,2563,36,,1174.7400,
X,2564,31,,1310.4600,
X,2566,52,,1190.8000,
X,2567,36,,1174.6000,
X,2568,36,,1170.6000,
X,2569,31,,1250.7000,
X,2570,31,,1246.3000,
X,2627,31,,1272.1800,
X,2628,44,,1240.9400,
X,2629,44,,1300.5000,
X,2630,52,,1269.2600,
X,2631,31,,1183.3200,
X,2632,52,,1183.3200,
X,2633,36,,1131.5000,
X,2634,31,,1296.8000,
X,2635,52,,1202.8200,
X,2636,44,,1198.5200,
X,2637,36,,1340.6400,
X,2638,36,,1263.8600,
X,2639,31,,1441.4600,
X,2640,31,,1441.4600,
X,2642,44,,1308.9600,
X,2643,36,,1256.5800,
X,2644,31,,1272.1800,
X,2646,31,,1240.9400,
X,2697,36,,1425.6800,
X,2698,36,,1296.7600,
X,2699,36,,1296.7600,
X,2700,44,,1296.7600,
X,2701,31,,1296.7600,
X,2702,44,,1296.7600,
X,2703,31,,1202.7800,
X,2704,31,,1140.7000,
X,2705,52,,1252.0400,
X,2706,36,,1340.5600,
X,2707,31,,1340.5600,
X,2708,36,,1340.5600,
X,2709,31,,1340.5600,
X,2710,31,,1340.5600,
X,2711,44,,1393.3600,
X,2712,44,,1391.1600,
X,2713,36,,1263.8400,
X,2714,36,,1228.5800,
X,2715,36,,1272.1200,
X,2767,31,,1216.0600,
X,2768,31,,1340.5000,
X,2769,31,,1376.1200,
X,2770,36,,1229.1000,
X,2771,52,,1391.0800,
X,2772,36,,1263.8400,
X,2773,31,,1228.6600,
X,2774,52,,1263.8400,
X,2775,44,,1263.8400,
X,2776,36,,1263.8400,
X,2777,31,,1308.9200,
X,2778,31,,1254.6000,
X,2779,31,,1438.8200,
X,2780,52,,1438.8200,
X,2781,52,,1438.8200,
X,2782,36,,1438.8200,
X,2783,31,,1272.1200,
X,2785,44,,1302.1400,
X,2787,36,,1425.6400,
X,2838,52,,1185.3600,
X,2839,52,,1090.1400,
X,2840,31,,1140.7000,
X,2841,52,,1296.6600,
X,2842,36,,1296.6600,
X,2843,31,,1209.3600,
X,2844,52,,1270.4800,
X,2845,36,,1233.5400,
X,2846,36,,1366.4400,
X,2849,52,,1252.9200,
X,2850,44,,1263.8000,
X,2855,31,,1341.2000,
X,2907,44,,1425.6200,
X,2908,44,,1425.6200,
X,2909,44,,1425.6200,
X,2910,52,,1425.6200,
X,2911,44,,1425.6200,
X,2912,31,,1425.6200,
X,2913,52,,1233.1000,
X,2914,44,,1233.1000,
X,2915,31,,1081.1600,
X,2934,36,,1216.4400,
X,2935,36,,1197.2000,
X,2936,52,,1149.2400,
X,2937,31,,1197.2000,
X,2938,52,,1197.2000,
X,2939,36,,1372.7000,
X,2985,31,,1197.1600,
X,2989,52,,1417.1200,
X,2990,44,,1417.1200,
X,2991,31,,1453.6400,
X,2992,31,,1417.1200,
X,2994,31,,1249.3200,
X,2996,31,,1295.9400,
X,3049,31,,1420.0600,
X,3050,52,,1336.9400,
X,3051,31,,1420.0600,
X,3053,52,,1250.6600,
X,3054,36,,1279.5000,
X,3057,52,,1060.9400,
X,3058,52,,1081.1600,
X,3059,44,,1122.3400,
X,3060,36,,1108.7800,
X,3063,44,,1020.7800,
X,3065,44,,1077.6200,
X,3119,52,,1079.2400,
X,3120,36,,1107.6200,
X,3122,52,,1057.7800,
X,3123,36,,1245.6600,
X,3124,31,,1197.1200,
X,3126,52,,1233.9000,
