VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,1008,7,925.52,-98.5298,28.9177
X,1010,31,1030.06,-98.5098,28.9177
X,1011,31,996.76,-98.4998,28.9177
X,1012,31,1088.1,-98.4898,28.9177
X,1013,36,1084.72,-98.4798,28.9177
X,1014,31,1039.14,-98.4698,28.9177
X,1015,31,1088.1,-98.4598,28.9177
X,1055,36,925.52,-98.5998,28.9077
X,1057,52,1000.8,-98.5798,28.9077
X,1058,44,937.86,-98.5598,28.9077
X,1059,31,1029.92,-98.5398,28.9077
X,1061,44,982.88,-98.5198,28.9077
X,1062,36,1000.8,-98.5098,28.9077
X,1063,31,1088.06,-98.4998,28.9077
X,1064,7,1039.12,-98.4898,28.9077
X,1065,7,1088.06,-98.4798,28.9077
X,1066,52,1084.72,-98.4698,28.9077
X,1067,44,1084.72,-98.4498,28.9077
X,1068,44,1039.12,-98.4398,28.9077
X,1069,36,1059.14,-98.4298,28.9077
X,1070,36,1059.14,-98.4198,28.9077
X,1071,36,1080.42,-98.4098,28.9077
X,1072,36,1088.06,-98.3998,28.9077
X,1073,44,1080.42,-98.3898,28.9077
X,1074,36,1033.44,-98.3798,28.9077
X,1075,44,1093.2,-98.3698,28.9077
X,1076,52,1140.7,-98.3598,28.9077
X,1078,7,1151.2,-98.3398,28.9077
X,1079,7,1145.16,-98.3298,28.9077
X,1081,31,1145.16,-98.2998,28.9077
X,1083,31,1142.88,-98.2698,28.9077
X,1128,36,1088.06,-98.3798,28.8977
X,1129,36,1156.84,-98.3698,28.8977
X,1131,36,1147.74,-98.3498,28.8977
X,1132,36,1218.24,-98.3398,28.8977
X,1133,31,1128.72,-98.3298,28.8977
X,1134,58,1145.5,-98.3198,28.8977
X,1135,52,1145.12,-98.3098,28.8977
X,1136,58,1064,-98.2998,28.8977
X,1137,52,1142.86,-98.2898,28.8977
X,1138,44,1142.86,-98.2698,28.8977
X,1139,36,1107.02,-98.2598,28.8977
X,1140,36,1135.82,-98.2498,28.8977
X,1141,36,1182.12,-98.2398,28.8977
X,1142,36,1235.44,-98.2298,28.8977
X,1143,36,1145.5,-98.2198,28.8977
X,1144,36,1148,-98.2098,28.8977
X,1183,36,1147.74,-98.3498,28.8877
X,1184,31,1147.74,-98.3398,28.8877
X,1185,44,1144.2,-98.3298,28.8877
X,1186,36,1155.5,-98.3198,28.8877
X,1187,7,1151.72,-98.3098,28.8877
X,1197,44,1149.26,-98.1998,28.8877
X,1209,36,512.26,-98.6698,28.8777
X,1210,31,470.12,-98.6598,28.8777
X,1211,31,512.26,-98.6498,28.8777
X,1216,44,600.8,-98.5998,28.8777
X,1220,7,1084.22,-98.5498,28.8777
X,1230,36,1070.82,-98.4198,28.8777
X,1275,52,983.72,-98.5298,28.8677
X,1277,44,1024.42,-98.5098,28.8677
X,1278,36,1101.04,-98.4898,28.8677
X,1279,36,1092.2,-98.4798,28.8677
X,1280,36,1096.94,-98.4698,28.8677
X,1281,36,1073.8,-98.4598,28.8677
X,1282,36,1114.94,-98.4498,28.8677
X,1283,44,1114.94,-98.4398,28.8677
X,1284,44,1057.9,-98.4298,28.8677
X,1285,52,1114.94,-98.4198,28.8677
X,1286,58,1073.8,-98.4098,28.8677
X,1288,7,1082.32,-98.3898,28.8677
X,1289,7,1129.18,-98.3698,28.8677
X,1292,31,1235.26,-98.3398,28.8677
X,1293,31,1133.34,-98.3298,28.8677
X,1296,7,1226.66,-98.2998,28.8677
X,1297,58,1226.66,-98.2898,28.8677
X,1298,52,1183.18,-98.2798,28.8677
X,1340,36,1096.94,-98.4498,28.8577
X,1343,52,1114.9,-98.4098,28.8577
X,1345,44,1108.4,-98.3898,28.8577
X,1346,36,1082.32,-98.3798,28.8577
X,1347,36,1201.98,-98.3598,28.8577
X,1348,31,1201.98,-98.3498,28.8577
X,1349,31,1201.98,-98.3398,28.8577
X,1350,36,1141.12,-98.3298,28.8577
X,1351,31,1105.18,-98.3198,28.8577
X,1352,36,1127.02,-98.3098,28.8577
X,1353,36,1127.02,-98.2998,28.8577
X,1354,36,1183.18,-98.2898,28.8577
X,1355,52,1127.02,-98.2798,28.8577
X,1356,58,1225.92,-98.2698,28.8577
X,1357,58,1280.88,-98.2598,28.8577
X,1358,7,1337.7,-98.2498,28.8577
X,1359,7,1228.02,-98.2398,28.8577
X,1360,7,1261.22,-98.2298,28.8577
X,1361,31,1227.9,-98.2198,28.8577
X,1362,36,1228.02,-98.2098,28.8577
X,1363,31,1189.54,-98.1898,28.8577
X,1364,7,1189.54,-98.1798,28.8577
X,1414,52,1195.52,-98.2698,28.8477
X,1415,44,1127,-98.2598,28.8477
X,1416,44,1261.22,-98.2498,28.8477
X,1417,36,1261.22,-98.2398,28.8477
X,1418,31,1052.34,-98.2298,28.8477
X,1419,36,1261.22,-98.2198,28.8477
X,1420,31,1252.8,-98.2098,28.8477
X,1421,31,782.64,-98.1998,28.8477
X,1422,36,1228,-98.1898,28.8477
X,1423,36,728.92,-98.1798,28.8477
X,1424,36,728.92,-98.1698,28.8477
X,1425,44,782.64,-98.1598,28.8477
X,1429,7,532.3,-98.7698,28.8377
X,1486,36,1228,-98.1598,28.8377
X,1494,36,559.84,-98.7398,28.8277
X,1499,7,536.22,-98.6898,28.8277
X,1572,7,1005.24,-98.5498,28.8177
X,1573,7,1048.6,-98.5398,28.8177
X,1574,52,1104.46,-98.5298,28.8177
X,1575,44,1005.24,-98.5198,28.8177
X,1577,36,1182.02,-98.4998,28.8177
X,1636,52,960.14,-98.5398,28.8077
X,1637,58,1048.58,-98.5298,28.8077
X,1638,52,1051.78,-98.5198,28.8077
X,1639,58,1005.22,-98.5098,28.8077
X,1640,7,1127.24,-98.4998,28.8077
X,1642,7,1114.78,-98.4798,28.8077
X,1643,7,1116.66,-98.4698,28.8077
X,1644,58,1076.2,-98.4598,28.8077
X,1645,52,1076.2,-98.4498,28.8077
X,1646,44,1132.14,-98.4398,28.8077
X,1647,44,1082.26,-98.4298,28.8077
X,1704,31,1051.76,-98.5198,28.7977
X,1705,36,960.14,-98.5098,28.7977
X,1706,44,1112.18,-98.4898,28.7977
X,1707,52,1181.98,-98.4798,28.7977
X,1708,58,1076.18,-98.4698,28.7977
X,1709,58,1082.26,-98.4598,28.7977
X,1710,58,1030.4,-98.4498,28.7977
X,1711,7,1120.6,-98.4398,28.7977
X,1712,7,1137.82,-98.4298,28.7977
X,1713,52,1181.98,-98.4198,28.7977
X,1714,44,1030.4,-98.4098,28.7977
X,1715,44,1030.4,-98.3998,28.7977
X,1716,36,1006.14,-98.3898,28.7977
X,1775,31,1116.66,-98.4698,28.7877
X,1776,36,1116.66,-98.4598,28.7877
X,1777,44,1082.24,-98.4498,28.7877
X,1778,52,1030.4,-98.4398,28.7877
X,1779,58,1181.98,-98.4298,28.7877
X,1780,58,1057.74,-98.4198,28.7877
X,1781,58,1096.84,-98.4098,28.7877
X,1782,52,1181.98,-98.3998,28.7877
X,1783,44,1057.74,-98.3898,28.7877
X,1784,44,1048.8,-98.3798,28.7877
X,1785,36,1197.4,-98.3698,28.7877
X,1786,31,1201.78,-98.3598,28.7877
X,1787,31,1201.78,-98.3498,28.7877
X,1844,31,1114.76,-98.4398,28.7777
X,1845,31,1114.76,-98.4298,28.7777
X,1846,36,1079.28,-98.4098,28.7777
X,1847,44,1181.98,-98.3998,28.7777
X,1848,44,1106.4,-98.3898,28.7777
X,1849,52,1106.4,-98.3798,28.7777
X,1850,58,1201.86,-98.3698,28.7777
X,1851,52,702.9,-98.3598,28.7777
X,1852,44,1222.94,-98.3498,28.7777
X,1853,44,1147.04,-98.3398,28.7777
X,1854,44,702.9,-98.3298,28.7777
X,1855,36,1184.98,-98.3198,28.7777
X,1856,31,1218.4,-98.3098,28.7777
X,1857,31,1229.86,-98.2998,28.7777
X,1915,31,1181.98,-98.3898,28.7677
X,1916,36,1106.38,-98.3798,28.7677
X,1917,44,1166.04,-98.3698,28.7677
X,1918,44,1198.18,-98.3598,28.7677
X,1919,52,1007.16,-98.3498,28.7677
X,1921,52,1227.24,-98.3298,28.7677
X,1922,44,1201.78,-98.3198,28.7677
X,1923,44,1201.78,-98.3098,28.7677
X,1924,36,1200.06,-98.2998,28.7677
X,1925,31,1225.7,-98.2798,28.7677
X,1926,44,1226.4,-98.2698,28.7677
X,1927,31,1280.8,-98.2598,28.7677
X,1984,31,1166.02,-98.3498,28.7577
X,1985,36,1166.02,-98.3398,28.7577
X,1986,44,1198.12,-98.3298,28.7577
X,1987,52,1226.94,-98.3198,28.7577
X,1988,36,1140.98,-98.3098,28.7577
X,1989,36,1225.7,-98.2898,28.7577
X,1991,7,1280.8,-98.2698,28.7577
X,1992,52,1005.36,-98.2598,28.7577
X,1993,44,1229.32,-98.2498,28.7577
X,1994,36,1227.94,-98.2398,28.7577
X,1995,36,728.88,-98.2298,28.7577
X,1996,31,1337.6,-98.2198,28.7577
X,1997,31,1337.6,-98.2098,28.7577
X,1998,7,1227.94,-98.1998,28.7577
X,2055,31,1227.08,-98.2698,28.7477
X,2056,36,1112.18,-98.2598,28.7477
X,2060,52,1312.1,-98.2198,28.7477
X,2061,44,1296.4,-98.2098,28.7477
X,2062,36,1259.88,-98.1998,28.7477
X,2063,36,1260.78,-98.1898,28.7477
X,2064,31,1296.4,-98.1798,28.7477
X,2065,31,1296.4,-98.1698,28.7477
X,2067,7,704.46,-98.7998,28.7377
X,2068,7,632.4,-98.7898,28.7377
X,2138,36,669.68,-98.6398,28.7277
X,2139,31,552.08,-98.6298,28.7277
X,2140,36,627.82,-98.6098,28.7277
X,2141,36,627.82,-98.5998,28.7277
X,2143,31,666.36,-98.5698,28.7277
X,2150,36,1062.92,-98.4898,28.7277
X,2151,36,1213.44,-98.4798,28.7277
X,2207,58,1213.42,-98.4498,28.7177
X,2208,44,1062.9,-98.4398,28.7177
X,2209,36,1213.42,-98.4298,28.7177
X,2210,36,1062.9,-98.4198,28.7177
X,2211,31,1062.9,-98.4098,28.7177
X,2212,7,1062.9,-98.3998,28.7177
X,2213,31,1062.9,-98.3898,28.7177
X,2214,7,1147.46,-98.3798,28.7177
X,2215,44,1198.92,-98.3698,28.7177
X,2216,36,1186.82,-98.3598,28.7177
X,2221,36,1230.56,-98.2998,28.7177
X,2278,52,990.4,-98.2798,28.7077
X,2279,52,677.5,-98.2698,28.7077
X,2280,52,1160.78,-98.2598,28.7077
