VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,3339,31,,1096.28
X,3341,52,,1184.38
X,3342,36,,1178.32
X,3344,36,,1178.32
X,3346,36,,1135.44
X,3399,36,,1096.28
X,3400,52,,1096.28
X,3401,36,,1126.32
X,3402,31,,1105.92
X,3403,52,,1249.28
X,3403,58,,0
X,3404,52,,1263.58
X,3405,36,,1308.54
X,3406,36,,1257.34
X,3407,36,,1267
X,3408,31,,1329.46
X,3410,52,,1329.46
X,3412,36,,1249.28
X,3413,52,,1282.66
X,3414,36,,1232.1
X,3423,36,,1186.7
X,3426,36,,1113.18
X,3427,31,,1113.18
X,3428,52,,1167.94
X,3429,36,,1182.86
X,3432,36,,1167.94
X,3433,36,,1167.94
X,3477,36,,1243.22
X,3478,31,,1166.18
X,3480,52,,1186.68
X,3481,52,,1243.22
X,3482,31,,1234.14
X,3484,31,,1023.52
X,3493,31,,1061.74
X,3494,31,,1132.64
X,3499,31,,1119.28
X,3502,36,,1091.36
X,3506,36,,1332.2
X,3546,31,,1184.32
X,3547,31,,1147.96
X,3549,52,,1096.28
X,3550,36,,1084.94
X,3551,36,,1127.52
X,3552,31,,1135.46
X,3553,36,,1135.46
X,3554,31,,1091.36
X,3555,36,,1135.46
X,3556,36,,1135.46
X,3557,36,,1289.42
X,3558,52,,1329.42
X,3568,31,,1262.8
X,3570,52,,1239.56
X,3611,36,,1219.88
X,3613,52,,1271.78
X,3614,36,,1219.88
X,3615,36,,1247.42
X,3616,31,,1282.96
X,3617,31,,1248.54
X,3618,31,,1197.62
X,3619,52,,1248.54
X,3620,52,,1212.7
X,3621,36,,1295.74
X,3622,52,,1260
X,3623,36,,1260
X,3624,52,,1141.82
X,3625,31,,1082.64
X,3626,31,,1065.98
X,3627,31,,1083.5
X,3628,36,,1149.94
X,3629,36,,1038.68
X,3685,36,,1064.44
X,3686,36,,1149.16
X,3687,31,,1124.32
X,3689,52,,1124.32
X,3690,36,,1058.86
X,3691,36,,1105
X,3692,52,,1105
X,3693,36,,1103.36
X,3694,52,,1105
X,3695,31,,1124.32
X,3696,52,,1075.48
X,3697,52,,1197.56
X,3698,31,,1248.52
X,3748,31,,1275.38
X,3750,36,,1199.5
X,3753,52,,1086.62
X,3754,36,,1083.48
X,3755,31,,1083.48
X,3756,31,,1140.8
X,3759,52,,1069.14
X,3760,36,,1083.34
X,3761,31,,704.72
X,3762,52,,1125.36
X,3763,31,,1047.2
X,3764,36,,1069.4
X,3765,52,,1066.98
X,3776,31,,1100.34
X,3777,52,,1088.08
X,3778,36,,1085.48
X,3780,52,,1124.74
X,3781,52,,1104.96
X,3782,36,,1275.58
X,3784,52,,1259.6
X,3785,36,,1237.42
X,3786,36,,1271.7
X,3787,31,,1271.7
X,3831,36,,1209.14
X,3832,52,,1016.5
X,3833,36,,1194.3
X,3837,31,,1030.98
X,3838,36,,1105.4
X,3839,31,,1084.26
X,3855,31,,1103.22
X,3860,52,,1124.68
X,3863,36,,1340.04
X,3897,36,,1291.3
X,3901,31,,1105.64
X,3902,52,,1125.86
X,3903,31,,1136.86
X,3904,36,,1083.44
X,3905,36,,1083.44
X,3906,36,,1002.66
X,3907,31,,1106.18
X,3908,36,,1062.72
X,3970,36,,1105.34
X,3971,52,,1047.12
X,3972,36,,1083.4
X,3973,52,,1043.28
X,3974,31,,1047.12
X,3975,31,,1047.12
X,3976,31,,1079.38
X,3977,36,,1011.22
X,3978,36,,1043.28
X,4038,52,,1151.16
X,4039,36,,1155.56
X,4040,31,,1200.42
X,4041,52,,1200.42
X,4042,31,,1188.36
X,4043,52,,1232.1
X,4044,36,,1301.42
X,4045,31,,1136.02
X,4046,52,,1177.14
X,4047,36,,1161.74
X,4048,36,,1129.54
X,4061,52,,1292.06
X,4062,36,,1155.54
X,4064,52,,1214.52
X,4065,36,,1105.54
X,4066,36,,1156.82
X,4067,36,,1177.14
X,4068,31,,1161.72
X,4117,31,,1144.88
X,4118,31,,1144.88
Y,,31,1,244264.14
Y,,36,1,300000
Y,,52,1,254969.62
Y,,58,1,0
Z,2628,,1,1240.94
Z,2647,,1,1269.26
Z,2648,,1,1425.72
Z,2649,,1,1252.82
Z,2666,,1,1240.94
Z,2667,,1,1406.68
Z,2668,,1,1425.68
Z,2669,,1,1425.68
Z,2670,,1,1425.68
Z,2693,,1,1406.68
Z,2694,,1,1406.68
Z,2695,,1,1425.68
Z,2696,,1,1425.68
Z,2723,,1,1240.92
Z,2724,,1,1406.68
Z,2725,,1,1425.68
Z,2726,,1,1425.68
Z,2727,,1,1425.68
Z,2728,,1,1425.68
Z,2753,,1,1324.08
Z,2754,,1,1425.64
Z,2786,,1,1324.08
Z,2788,,1,1425.64
Z,2789,,1,1425.64
Z,2790,,1,1425.64
Z,2822,,1,1406.68
Z,2823,,1,1406.68
Z,2824,,1,1406.68
Z,2825,,1,1406.68
Z,2826,,1,1425.64
Z,2827,,1,1425.64
Z,2828,,1,1425.64
Z,2829,,1,1425.64
Z,2830,,1,1425.64
Z,2864,,1,1324.08
Z,2865,,1,1324.08
Z,2866,,1,1406.68
Z,2867,,1,1406.68
Z,2868,,1,1425.62
Z,2869,,1,1425.62
Z,2870,,1,1425.62
Z,2904,,1,1247.1
Z,2905,,1,1247.1
Z,2906,,1,1406.68
Z,2907,,1,1425.62
Z,2908,,1,1425.62
Z,2944,,1,1239.14
Z,2945,,1,1365.86
Z,2946,,1,1332.34
Z,2947,,1,1308.64
Z,2948,,1,1308.64
Z,2949,,1,1396.44
Z,2950,,1,1396.44
Z,2951,,1,1420.1
Z,2952,,1,1420.1
Z,2953,,1,1420.1
Z,2954,,1,1420.1
Z,2955,,1,1420.1
Z,2993,,1,1241.9
Z,2995,,1,1296.18
Z,2997,,1,1308.64
Z,2998,,1,1278.82
Z,2999,,1,1396.44
Z,3000,,1,1420.08
Z,3001,,1,1420.08
Z,3002,,1,1420.08
Z,3038,,1,1269
Z,3039,,1,1232.18
Z,3040,,1,1269
Z,3041,,1,1278.82
Z,3042,,1,1396.42
Z,3043,,1,1396.42
Z,3044,,1,1396.42
Z,3045,,1,1396.42
Z,3046,,1,1396.42
Z,3047,,1,1420.06
Z,3048,,1,1420.06
Z,3087,,1,1230.8
Z,3088,,1,1155.46
Z,3089,,1,1155.46
Z,3090,,1,1296.2
Z,3091,,1,1396.44
Z,3092,,1,1396.44
Z,3093,,1,1396.44
Z,3131,,1,1164.36
Z,3133,,1,1242.14
Z,3135,,1,1369.9
Z,3138,,1,1269
Z,3139,,1,1269
Z,3140,,1,1396.38
Z,3141,,1,1396.38
Z,3142,,1,1396.38
Z,3178,,1,1164.36
Z,3180,,1,1242.14
Z,3181,,1,1178.36
Z,3182,,1,1178.36
Z,3183,,1,1178.36
Z,3184,,1,1103.82
Z,3185,,1,1273.12
Z,3186,,1,1273.12
Z,3188,,1,1390.26
Z,3228,,1,1242.12
Z,3229,,1,1184.4
Z,3233,,1,1132.66
Z,3234,,1,1121.46
Z,3236,,1,1119.44
Z,3237,,1,1138.26
Z,3238,,1,1119.44
Z,3239,,1,1232.22
Z,3240,,1,1301.64
Z,3241,,1,1268.96
Z,3242,,1,1232.22
Z,3243,,1,1396.4
Z,3244,,1,1396.4
Z,3292,,1,1178.3
Z,3293,,1,1178.3
Z,3295,,1,1390.2
Z,3296,,1,1268.98
Z,3297,,1,1232.14
elapsed time,38.15765,,,
