VARIABLE, PARCEL, DEPOT, PLANT, VALUE,,,,
X,2209,36,,1050.64,,,,
X,2210,36,,967.18,,,,
X,2211,31,,967.18,,,,
X,2212,52,,967.18,,,,
X,2213,31,,967.18,,,,
X,2214,52,,1026.84,,,,
X,2215,36,,1026.84,,,,
X,2216,36,,1007.3,,,,
X,2278,52,,843.82,,,,
X,2279,52,,745.82,,,,
X,2280,52,,937.7,,,,
X,2281,52,,1023.54,,,,
X,2282,36,,1099.24,,,,
X,2283,52,,865.3,,,,
X,2284,36,,942.88,,,,
X,2285,31,,974.18,,,,
X,2287,52,,934.24,,,,
X,2288,36,,924.78,,,,
X,2289,36,,971.66,,,,
X,2290,36,,971.66,,,,
X,2349,52,,902.18,,,,
X,2351,11,,915.1,,,,
X,2352,31,,977.94,,,,
X,2425,31,,1000.6,,,,
X,2426,11,,1050.9,,,,
X,2427,36,,937.82,,,,
X,2428,36,,937.8,,,,
X,2429,36,,937.8,,,,
X,2487,36,,1004.26,,,,
X,2489,36,,1004.26,,,,
X,2491,11,,1000.58,,,,
X,2492,31,,716.04,,,,
X,2493,11,,0,,,,
X,2493,52,,938.26,,,,
X,2494,36,,843.78,,,,
X,2495,31,,879.32,,,,
X,2496,11,,879.32,,,,
X,2497,52,,879.32,,,,
X,2498,36,,879.32,,,,
X,2499,36,,988.76,,,,
X,2500,36,,988.76,,,,
X,2501,31,,988.76,,,,
X,2505,36,,945.5,,,,
X,2557,36,,1045.9,,,,
X,2558,36,,1034.68,,,,
X,2561,36,,1002.28,,,,
X,2563,36,,1002.28,,,,
X,2564,31,,1101.24,,,,
X,2565,11,,1017.28,,,,
X,2566,52,,1034.08,,,,
X,2567,36,,1002.28,,,,
X,2568,36,,969.54,,,,
X,2569,31,,1034.66,,,,
X,2627,31,,1101.08,,,,
X,2629,52,,1045.88,,,,
X,2630,52,,1017.28,,,,
X,2631,31,,1008.5,,,,
X,2632,52,,1008.5,,,,
X,2633,36,,962.12,,,,
X,2634,36,,1140.94,,,,
X,2635,11,,1045.88,,,,
X,2636,52,,969.56,,,,
X,2637,36,,1140.94,,,,
X,2638,36,,1157.84,,,,
X,2639,31,,1281.04,,,,
X,2640,31,,1281.04,,,,
X,2642,11,,1157.84,,,,
X,2643,36,,1170.14,,,,
X,2697,36,,1140.96,,,,
X,2698,36,,1140.96,,,,
X,2699,36,,1140.96,,,,
X,2700,11,,1140.96,,,,
X,2701,31,,1140.96,,,,
X,2702,36,,1140.96,,,,
X,2703,31,,1045.88,,,,
X,2704,31,,969.56,,,,
X,2705,52,,1136.24,,,,
X,2706,36,,1140.96,,,,
X,2707,31,,1140.96,,,,
X,2708,36,,1140.96,,,,
X,2709,31,,1140.96,,,,
X,2710,11,,1140.96,,,,
X,2711,11,,1288.2,,,,
X,2712,36,,1281.02,,,,
X,2713,36,,1157.8,,,,
X,2714,36,,1101.04,,,,
X,2715,36,,1101.04,,,,
X,2716,36,,1157.8,,,,
X,2767,31,,1024.68,,,,
X,2768,31,,1140.92,,,,
X,2769,31,,1238.92,,,,
X,2770,36,,1106.1,,,,
X,2771,52,,1281,,,,
X,2772,36,,1157.78,,,,
X,2773,31,,1101.02,,,,
X,2774,11,,1157.78,,,,
X,2775,36,,1157.78,,,,
X,2776,36,,1157.78,,,,
X,2777,31,,1157.78,,,,
X,2778,31,,1106.64,,,,
X,2779,11,,1102.88,,,,
X,2780,11,,1102.88,,,,
X,2781,52,,1102.88,,,,
X,2782,36,,1102.88,,,,
X,2783,31,,1101.02,,,,
X,2787,36,,1140.92,,,,
X,2838,52,,1034.6,,,,
X,2839,52,,928.78,,,,
X,2840,31,,969.52,,,,
X,2841,52,,1140.92,,,,
X,2842,36,,1140.92,,,,
X,2843,31,,1017.46,,,,
X,2844,52,,1108.26,,,,
X,2845,36,,1106.1,,,,
X,2846,36,,1233.3,,,,
X,2847,11,,1101.02,,,,
X,2848,11,,1157.76,,,,
X,2849,11,,1106.24,,,,
X,2850,52,,1157.76,,,,
X,2855,31,,1157.08,,,,
X,2908,11,,1140.92,,,,
X,2909,11,,1140.92,,,,
X,2910,52,,1140.92,,,,
X,2911,11,,1140.92,,,,
X,2912,31,,1140.92,,,,
X,2913,11,,1140.92,,,,
X,2914,52,,1140.92,,,,
X,2915,31,,1002.16,,,,
X,2917,11,,1002.16,,,,
X,2918,11,,1002.16,,,,
X,2934,36,,1180.86,,,,
X,2935,36,,1102.82,,,,
X,2936,52,,1106.1,,,,
X,2937,31,,1102.82,,,,
X,2938,52,,1102.82,,,,
X,2939,36,,1080.84,,,,
X,2983,11,,1102.8,,,,
X,2985,31,,1102.8,,,,
X,2987,11,,1102.8,,,,
X,2989,52,,1102.8,,,,
X,2991,31,,1152.36,,,,
X,2992,31,,1102.8,,,,
X,2993,52,,1034.04,,,,
X,2994,31,,1017.18,,,,
X,2996,31,,1023.22,,,,
X,3049,31,,1029.12,,,,
X,3050,52,,1140.86,,,,
X,3051,31,,1002.14,,,,
X,3052,11,,990.22,,,,
X,3053,52,,1017.16,,,,
X,3054,36,,1002.14,,,,
X,3056,11,,962.08,,,,
X,3057,52,,1002.14,,,,
X,3058,52,,1029.12,,,,
X,3059,36,,1031.36,,,,
X,3060,36,,655.66,,,,
X,3061,31,,978.8,,,,
X,3062,11,,998.18,,,,
X,3063,11,,1128.42,,,,
X,3064,36,,1106.22,,,,
X,3119,52,,1102.76,,,,
X,3120,36,,1087.34,,,,
X,3122,52,,1168.5,,,,
X,3123,36,,1102.76,,,,
X,3124,31,,1102.76,,,,
X,3125,11,,1152.32,,,,
X,3126,52,,1080.84,,,,
X,3127,52,,1168.32,,,,
X,3128,52,,1167.5,,,,
X,3129,36,,822.62,,,,
X,3130,31,,1018.36,,,,
X,3131,11,,1050.24,,,,
X,3132,52,,1140.86,,,,
X,3134,31,,1018.36,,,,
X,3135,31,,1050.24,,,,
X,3136,31,,1101.14,,,,
X,3187,36,,1101.14,,,,
X,3189,52,,1140.86,,,,
X,3190,31,,1140.86,,,,
X,3191,11,,990.94,,,,
X,3192,52,,1045.78,,,,
X,3193,31,,1029.12,,,,
X,3194,11,,979.66,,,,
X,3196,52,,655.64,,,,
X,3197,52,,1002.12,,,,
X,3198,36,,1034.8,,,,
X,3199,31,,1045.78,,,,
X,3200,31,,1002.12,,,,
