VARIABLE	 PARCEL	coord_ID	 DEPOT	 VALUE	LAT 	LON
X	859	1063	52	1075.28	28.9477	-98.5198
X	860	1065	44	1030.36	28.9477	-98.4998
X	861	1066	44	1066.38	28.9477	-98.4898
X	862	1067	44	1008.2	28.9477	-98.4798
X	863	1068	52	1008.2	28.9477	-98.4698
X	864	1069	52	1076.22	28.9477	-98.4598
X	865	1070	52	1055.72	28.9477	-98.4498
X	866	1071	7	1087.96	28.9477	-98.4398
X	867	1073	7	1087.96	28.9477	-98.4198
X	868	1074	7	1084.14	28.9477	-98.4098
X	869	1075	31	1087.96	28.9477	-98.3998
X	870	1076	36	1084.14	28.9477	-98.3898
X	871	1077	36	1085.16	28.9477	-98.3798
X	872	1078	36	1065.04	28.9477	-98.3698
X	873	1079	36	1039.84	28.9477	-98.3598
X	874	1080	36	1090.92	28.9477	-98.3498
X	875	1082	36	1034.76	28.9477	-98.3298
X	876	1083	31	991.66	28.9477	-98.3198
X	877	1084	31	960.32	28.9477	-98.3098
X	919	1131	31	1086.28	28.9377	-98.3798
X	920	1132	36	1063.58	28.9377	-98.3698
X	921	1133	52	1008.2	28.9377	-98.3598
X	922	1134	36	1090.88	28.9377	-98.3498
X	923	1135	36	1040.04	28.9377	-98.3398
X	924	1136	31	1034.74	28.9377	-98.3298
X	925	1137	7	1017.38	28.9377	-98.3198
X	926	1139	7	960.32	28.9377	-98.2998
X	927	1140	58	993	28.9377	-98.2898
X	928	1141	52	966.22	28.9377	-98.2798
X	929	1142	44	1016.96	28.9377	-98.2698
X	930	1143	44	960.32	28.9377	-98.2598
X	931	1144	44	960.32	28.9377	-98.2498
X	981	1199	36	1044.7	28.9277	-98.2598
X	983	1201	36	1034.26	28.9277	-98.2398
X	1001	1220	36	985.18	28.9177	-98.6198
X	1002	1221	36	985.18	28.9177	-98.6098
X	1003	1222	44	1007.4	28.9177	-98.5998
X	1004	1223	44	1056.26	28.9177	-98.5898
X	1005	1224	52	1121.74	28.9177	-98.5798
X	1006	1225	58	1106.96	28.9177	-98.5698
X	1007	1226	7	1030.32	28.9177	-98.5598
X	1008	1229	7	1007.06	28.9177	-98.5298
X	1009	1230	7	1056.26	28.9177	-98.5198
X	1010	1231	31	1077.78	28.9177	-98.5098
X	1011	1232	31	1030.32	28.9177	-98.4998
X	1012	1233	31	1082.94	28.9177	-98.4898
X	1013	1234	36	1077.78	28.9177	-98.4798
X	1014	1235	31	1001.04	28.9177	-98.4698
