VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,1925,31,,1029.42
X,1926,44,,1009
X,1927,31,,1064.82
X,1984,36,,983.34
X,1985,36,,983.34
X,1986,44,,991.26
X,1987,52,,1072.38
X,1988,36,,1076.14
X,1989,36,,1029.42
X,1991,7,,1064.8
X,1992,52,,843.88
X,1993,44,,1023.56
X,1994,36,,967.2
X,1995,36,,759.04
X,1996,31,,1099.28
X,1997,31,,1099.28
X,1998,7,,967.2
X,2055,31,,1029.42
X,2056,36,,945.54
X,2057,44,,747.22
X,2058,44,,759.04
X,2059,52,,759.04
X,2060,52,,1041.28
X,2061,44,,974.18
X,2062,36,,967.2
X,2063,36,,942.88
X,2064,31,,974.18
X,2065,31,,974.18
X,2150,36,,967.14
X,2151,36,,1050.68
X,2153,36,,1038.38
X,2207,58,,1050.64
X,2208,44,,967.18
X,2209,36,,1050.64
X,2210,36,,967.18
X,2211,31,,967.18
X,2212,7,,967.18
X,2213,31,,967.18
X,2214,7,,1026.84
X,2215,36,,1026.84
X,2216,36,,1007.3
X,2221,36,,1094.44
X,2277,52,,745.88
X,2278,52,,843.82
X,2279,52,,745.82
X,2280,52,,937.7
X,2282,36,,1099.24
X,2283,52,,865.3
X,2284,44,,942.88
X,2285,31,,974.18
X,2287,52,,934.24
X,2288,44,,924.78
X,2289,36,,971.66
X,2290,36,,971.66
X,2291,36,,971.66
X,2348,44,,902.18
X,2349,44,,902.18
X,2350,44,,902.18
X,2351,44,,915.1
X,2352,31,,977.94
X,2425,31,,1000.6
X,2426,44,,1050.9
X,2427,36,,937.82
X,2428,36,,937.8
X,2429,36,,937.8
X,2433,36,,1050.9
X,2487,36,,1004.26
X,2488,44,,1050.9
X,2489,36,,1004.26
X,2490,36,,716.04
X,2491,44,,1000.58
X,2492,31,,716.04
X,2493,7,,938.26
X,2494,36,,843.78
X,2495,31,,879.32
X,2496,58,,879.32
X,2498,44,,879.32
X,2499,36,,988.76
X,2500,36,,988.76
X,2501,31,,988.76
X,2505,36,,945.5
X,2557,36,,1045.9
X,2558,36,,1034.68
X,2560,58,,1136.32
X,2561,36,,1002.28
X,2563,36,,1002.28
X,2564,31,,1101.24
X,2565,58,,1017.28
X,2566,52,,1034.08
X,2567,36,,1002.28
X,2568,36,,969.54
X,2569,31,,1034.66
X,2570,31,,1008.5
X,2571,7,,994.68
X,2572,7,,1002.28
X,2574,36,,1024.74
X,2576,36,,1288.24
X,2627,31,,1101.08
X,2629,44,,1045.88
X,2630,52,,1017.28
X,2631,31,,1008.5
X,2632,52,,1008.5
X,2633,36,,962.12
X,2634,36,,1140.94
X,2635,7,,1045.88
X,2636,44,,969.56
X,2637,36,,1140.94
X,2638,36,,1157.84
X,2639,31,,1281.04
X,2640,31,,1281.04
X,2641,58,,1101.08
X,2642,44,,1157.84
X,2643,36,,1170.14
X,2644,31,,1101.08
X,2646,31,,1002.26
X,2697,36,,1140.96
X,2698,36,,1140.96
X,2699,36,,1140.96
X,2700,44,,1140.96
X,2701,31,,1140.96
X,2702,44,,1140.96
X,2703,31,,1045.88
X,2704,31,,969.56
X,2705,44,,1136.24
X,2706,36,,1140.96
X,2707,31,,1140.96
X,2708,36,,1140.96
X,2709,31,,1140.96
X,2710,7,,1140.96
X,2711,7,,1288.2
X,2712,44,,1281.02
X,2713,36,,1157.8
X,2714,36,,1101.04
X,2715,36,,1101.04
X,2716,36,,1157.8
X,2766,36,,1140.92
X,2767,31,,1024.68
X,2768,31,,1140.92
X,2769,31,,1238.92
X,2770,36,,1106.1
X,2771,58,,1281
X,2772,36,,1157.78
X,2773,31,,1101.02
X,2774,58,,1157.78
X,2775,44,,1157.78
X,2776,36,,1157.78
X,2777,31,,1157.78
X,2778,31,,1106.64
X,2779,31,,1102.88
X,2780,7,,1102.88
X,2781,52,,1102.88
X,2782,36,,1102.88
X,2783,31,,1101.02
X,2785,44,,1180.86
X,2836,44,,1029.16
X,2837,36,,962.1
X,2838,58,,1034.6
X,2839,58,,928.78
X,2840,31,,969.52
X,2841,52,,1140.92
X,2842,36,,1140.92
X,2843,31,,1017.46
X,2844,44,,1108.26
X,2845,36,,1106.1
X,2846,36,,1233.3
X,2848,7,,1157.76
X,2849,7,,1106.24
X,2850,44,,1157.76
X,2855,31,,1157.08
X,2908,44,,1140.92
X,2909,44,,1140.92
X,2910,58,,1140.92
X,2911,44,,1140.92
X,2912,31,,1140.92
X,2913,7,,1140.92
X,2914,44,,1140.92
X,2915,36,,1002.16
X,2917,7,,1002.16
X,2919,7,,1140.92
X,2920,36,,1002.16
X,2934,36,,1180.86
X,2935,36,,1102.82
X,2936,52,,1106.1
X,2937,31,,1102.82
X,2938,52,,1102.82
X,2939,36,,1080.84
X,2978,36,,1087.36
X,2982,31,,1168.38
X,2983,58,,1102.8
X,2985,31,,1102.8
X,2988,58,,1080.84
X,2989,52,,1102.8
X,2990,44,,1102.8
X,2991,31,,1152.36
X,2992,31,,1102.8
X,2994,31,,1017.18
X,3006,36,,1002.14
X,3048,31,,1140.86
X,3049,31,,1029.12
X,3050,52,,1140.86
X,3051,31,,1002.14
X,3052,58,,990.22
X,3053,44,,1017.16
X,3054,36,,1002.14
X,3056,7,,962.08
X,3057,7,,1002.14
X,3058,52,,1029.12
X,3059,44,,1031.36
X,3060,36,,655.66
X,3061,31,,978.8
X,3062,7,,998.18
X,3063,7,,1128.42
X,3064,36,,1106.22
X,3065,44,,1152.32
X,3067,31,,1131.96
X,3116,36,,542.16
X,3117,44,,1080.84
X,3119,52,,1102.76
X,3120,36,,1087.34
X,3121,58,,1094.24
X,3122,52,,1168.5
X,3123,36,,1102.76
X,3124,31,,1102.76
X,3125,58,,1152.32
X,3126,58,,1080.84
X,3127,52,,1168.32
X,3128,44,,1167.5
X,3129,36,,822.62
X,3130,31,,1018.36
X,3132,7,,1140.86
X,3133,44,,1002.12
X,3134,31,,1018.36
X,3189,52,,1140.86
X,3190,31,,1140.86
X,3191,58,,990.94
X,3192,44,,1045.78
X,3193,36,,1029.12
X,3195,58,,655.64
X,3196,52,,655.64
X,3197,44,,1002.12
X,3198,36,,1034.8
X,3199,31,,1045.78
X,3200,31,,1002.12
X,3201,7,,1029.12
X,3202,52,,1002.12
X,3203,36,,1034.88
X,3204,52,,1034.88
X,3205,31,,1002.12
X,3206,44,,1045.78
X,3207,36,,1017.38
X,3208,36,,1091.06
X,3209,31,,1233.32
X,3256,36,,979.66
X,3258,36,,1034.88
X,3259,44,,1017.08
X,3260,31,,1002.1
X,3261,7,,1034.4
X,3262,36,,1012.76
X,3263,36,,1180.8
X,3264,58,,1102.66
X,3265,52,,1102.66
X,3266,52,,1080.82
X,3267,44,,1080.82
X,3268,36,,1145.58
X,3269,31,,1080.82
X,3270,58,,1087.28
X,3271,7,,822.64
X,3272,44,,822.64
X,3273,36,,1149.92
X,3274,44,,1149.92
X,3275,31,,1149.92
X,3276,36,,1157.02
X,3277,36,,1157.02
X,3278,36,,1149.92
X,3279,31,,1149.92
X,3326,52,,1080.82
X,3327,52,,1149.9
X,3328,31,,1168.36
X,3329,36,,1167.46
X,3330,58,,1149.9
X,3331,44,,1157
X,3332,36,,1149.9
X,3333,31,,1002.1
X,3334,7,,962.04
X,3335,52,,1002.1
X,3336,44,,1098.58
X,3337,44,,1034.34
X,3338,31,,1002.1
X,3339,31,,1002.1
X,3340,58,,1096.66
X,3341,52,,1098.58
X,3342,44,,1098.58
X,3344,44,,1096.66
X,3346,36,,1030.5
X,3397,44,,1034.34
X,3398,44,,1002.1
X,3399,36,,1002.1
X,3400,44,,1031.28
X,3401,36,,1030.5
X,3402,31,,1017.06
X,3403,58,,1008.4
X,3404,52,,1029.08
X,3405,44,,998.84
X,3406,36,,1034.34
X,3407,31,,974.14
X,3408,31,,1021.36
X,3409,58,,974.14
X,3410,52,,974.14
X,3411,44,,1017.06
X,3412,36,,1045.8
X,3413,52,,1002.1
X,3414,36,,1002.1
X,3422,44,,1168.36
X,3423,36,,1168.36
X,3424,44,,1094.14
X,3425,58,,1094.14
X,3426,7,,1094.14
X,3427,31,,1167.44
X,3428,52,,1145.56
X,3429,36,,1102.66
X,3431,7,,1167.44
X,3432,44,,1167.44
X,3433,36,,1167.44
X,3434,58,,1140.84
X,3436,36,,1098.58
X,3476,44,,1233.34
X,3477,31,,1149.88
X,3478,31,,1094.14
X,3480,52,,1233.34
X,3481,44,,1193.26
X,3482,31,,994.98
X,3483,7,,1002.1
X,3484,31,,1002.1
X,3485,44,,974.08
X,3486,44,,1029.52
X,3493,31,,1008.38
X,3494,31,,1045.78
X,3496,36,,1035.78
X,3498,44,,1017.06
X,3499,31,,1002.1
X,3502,36,,954.7
X,3505,36,,1057.48
X,3506,36,,1057.48
X,3543,52,,1017.02
X,3544,44,,1017.02
X,3545,31,,1096.64
X,3546,31,,1057.46
X,3547,31,,1030.44
X,3549,7,,969.48
X,3550,44,,1010.6
X,3551,36,,1034.32
X,3552,58,,1034.32
X,3553,36,,954.7
