index,parcels,yield,county
262,402,10.637,ATASCOSA
263,403,1.5186,ATASCOSA
264,404,1.5186,ATASCOSA
265,405,1.5186,ATASCOSA
266,406,1.5186,ATASCOSA
267,408,1.5186,ATASCOSA
268,409,1.5186,ATASCOSA
269,410,10.9756,ATASCOSA
270,411,10.9756,ATASCOSA
271,412,10.9312,ATASCOSA
272,413,10.6642,ATASCOSA
273,414,10.8638,ATASCOSA
274,415,10.881,ATASCOSA
275,416,10.6366,ATASCOSA
276,418,10.8638,ATASCOSA
277,419,10.8638,ATASCOSA
278,420,10.3932,ATASCOSA
279,421,10.8638,ATASCOSA
280,422,10.8638,ATASCOSA
281,423,10.8638,ATASCOSA
282,424,10.8638,ATASCOSA
283,425,10.8638,ATASCOSA
284,426,10.8638,ATASCOSA
285,427,10.8638,ATASCOSA
286,428,10.6366,ATASCOSA
287,429,10.9108,ATASCOSA
288,430,10.881,ATASCOSA
289,432,10.763,ATASCOSA
290,433,10.8638,ATASCOSA
291,434,10.881,ATASCOSA
292,435,10.8638,ATASCOSA
293,436,10.881,ATASCOSA
294,437,10.881,ATASCOSA
295,438,10.6366,ATASCOSA
296,439,10.6366,ATASCOSA
297,440,10.9108,ATASCOSA
298,441,10.6366,ATASCOSA
299,442,10.6366,ATASCOSA
300,443,10.6366,ATASCOSA
301,444,10.6366,ATASCOSA
302,445,10.881,ATASCOSA
303,447,1.4872,ATASCOSA
304,448,1.5186,ATASCOSA
305,449,1.5186,ATASCOSA
306,450,0.9624,ATASCOSA
307,451,1.7354,ATASCOSA
308,452,1.7354,ATASCOSA
309,453,1.4872,ATASCOSA
310,454,10.9308,ATASCOSA
311,456,10.881,ATASCOSA
312,457,10.6508,ATASCOSA
313,458,10.6366,ATASCOSA
314,459,10.9106,ATASCOSA
315,460,10.6366,ATASCOSA
316,461,10.6366,ATASCOSA
317,462,10.5576,ATASCOSA
318,463,10.864,ATASCOSA
319,464,10.864,ATASCOSA
320,465,10.6366,ATASCOSA
321,466,10.8522,ATASCOSA
322,467,10.864,ATASCOSA
323,468,10.6366,ATASCOSA
324,469,10.9106,ATASCOSA
325,470,10.864,ATASCOSA
326,471,10.6366,ATASCOSA
327,472,11.024,ATASCOSA
328,473,10.864,ATASCOSA
329,474,10.6366,ATASCOSA
330,475,10.881,ATASCOSA
331,476,10.864,ATASCOSA
332,477,10.864,ATASCOSA
333,479,10.881,ATASCOSA
334,480,10.6508,ATASCOSA
335,481,10.881,ATASCOSA
336,482,10.8522,ATASCOSA
337,483,10.881,ATASCOSA
338,484,10.881,ATASCOSA
339,485,10.6366,ATASCOSA
340,486,10.881,ATASCOSA
341,487,10.5576,ATASCOSA
